,SentID,Cause,Effect,Label,Sent
98,99,infection,swelling,1,"Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells."
99,100,vibration,tone,1,"Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone."
102,103,spell,threat,1,"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal."
104,105,movements,earthquakes,1,"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids."
116,117,motion,suction,1,Forward motion of the vehicle through the air caused a suction on the road draft tube.
128,129,malfunctions,delays,1,"The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online."
138,139,damage,growth,1,"Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds."
144,145,injury,discomfort,1,The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position.
151,152,water,tides,1,"The water pushed to the coast resulted in tides as much as three feet above normal, with waves of 5-10 feet atop these tides."
164,165,charge,field,1,"The charge is the source of an electric field, which carries energy-the electrostatic self-energy."
165,166,arrival,tardiness,1,The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.
170,171,deluge,flood,1,The river had now turned into full flood after the deluge of rain a few days ago.
180,181,documentary,scandal,1,She mentioned the scandal caused by a BBC documentary on the treatment of children in a special-needs home and asked how the state had responded to these.
188,189,accident,radiation,1,The World Health Organization(WHO) found that the radiation release from the Chernobyl accident was 200 times that of the Hiroshima and Nagasaki.
197,198,coup,confusion,1,"Also, in the midst of the confusion caused by the coup, the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion."
202,203,accident,snarl,1,The accident caused a major traffic snarl on the arterial road.
205,206,situation,tension,1,"The various forms of idealistic, materialistic and agnostic philosophies are subject to the tension caused by the indicated situation."
214,215,irritation,contractions,1,Contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve.
222,223,virus,warts,1,Plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet.
268,269,earthquake,blackout,1,The stong earthquake caused a blackout on the sound stage and short-circuited some of the neon-tubed violins.
274,275,stress,tension,1,"Tension Release by Mega Food contains Sensoril, a clinically studied extract of a Ashwagandha that helps to inhibit fatigue and physical tension from everyday stress."
282,283,cardiovascular disease,morbidity,1,"Cardiovascular disease is one of the leading causes of morbidity and mortality in the UK, as well as in the developed and the developing world."
285,286,sinus pressure,dizziness,1,Dizziness from nasal and sinus pressure usually can be seen on a good nasal examination and a CT of the sinuses.
295,296,meeting,laws,1,This meeting establishes the laws which govern the church and the priorities for the coming year.
319,320,crowd,fear,1,"Phobia like fear from crowd, fear from insects, fear from height etc all contribute in developing the anxiety disorder."
331,332,transmitter,transmission,1,The hidden preamble or timing signal is employed to mark the time of commencement of the transmission of information pulses from a transmitter.
334,335,confrontation,commotion,1,"Doe's confrontation with the flight attendant caused a commotion on the plane, prolonged the flight's delay, and added to the aggravation already being felt by the passengers and crew."
343,344,relaxation,reduction,1,"The increase of the signal might correspond to formation of the high-density excitons, while the reduction of the signal originates from the relaxation."
344,345,tornado,devastation,1,We estimate a wind speed associated with the devastation caused by the tornado.
346,347,condition,indicator,1,"The basic indicator of the health condition of trees, stands and forests is tree defoliation."
347,348,people,deficits,1,The deficits are caused by people saving too much of their money.
351,352,wind,delays,1,"Heat, wind and smoke cause flight delays."
352,353,diseases,illnesses,1,"In developing countries four-fifths of all the illnesses are caused by water-borne diseases, with diarrhoea being the leading cause of childhood death."
358,359,bombing,destruction,1,The destruction caused by the bombing of Attorney General Palmer's home.
370,371,drum,sound,1,The second biggest factor affecting the sound produced by a drum is the tension at which the drum head is held against the shell of the drum.
375,376,earthquake,landslide,1,The largest landslide triggered by the earthquake is located approximately 32 kilometers southeast of Muzafarrabad in a tributary valley of the Jhelum River.
379,380,debris,crash,1,"The debris caused a crash on the Schuylkill, and it has been closed for hours because of the mishap."
380,381,blasts,fire,1,"A fire triggered by the blasts damaged eight buildings at the plant, including one that was burned down."
390,391,faults,cancellations,1,Mechanical faults caused delays and cancellations on Wellington's suburban train services this morning.
399,400,disc,pressure,1,Relieve spinal stenosis by enlarging the spinal canal to relieve pressure on the spinal cord that has been caused by a herniated or bulging disc.
420,421,airline,cancellation,1,Passengers have rights in the event of a delay or cancellation that has been caused by the airline.
427,428,loss,sorrow,1,However Susanoo was in sorrow after the loss of his mother and he was raging in his kingdom.
428,429,eruption,earthquake,1,But the earthquake triggered by the eruption of Thera struck first.
431,432,diabetes mellitus,blindness,1,"Diabetes mellitus is one of the leading causes of irreversible blindness worldwide, and, in the United States."
442,443,fungus,irritation,1,Getting help has reduced the time to reverse all the irritation that had been caused by the fungus.
447,448,purchase,satisfaction,1,"On the other hand, the higher the satisfaction from the purchase, the greater the benefit of word-of-mouth referrals and repeat purchasing."
452,453,negligence,accident,1,District Judge without a jury and judgment was entered for the defendants on the ground that the accident was caused by the plaintiff's own negligence.
462,463,fire,alarm,1,The children descend the ladder after hearing the fire alarm which has been triggered by the wood work workshop catching fire.
483,484,incident,sensation,1,The incident caused a brief sensation on the Web among people suspicious that it was a political commentary.
499,500,cholesterol,disease,1,"And this is frequently cited as ""proof"" that saturated fats and cholesterol cause heart disease."
507,508,preservatives,itchiness,1,"Many commercial soap, shower gel or cleanser products contain preservatives, colorants and chemicals that cause dryness, rashes, itchiness and roughness on the skin."
515,516,pyrotechnics,fire,1,Birchwood and Stockton Heath were called to the scene after pyrotechnics used during one of the performances caused a fire on the main stage.
516,517,stress,breakouts,1,Like a catch-22 the worst part is that acne causes stress and stress triggers acne breakouts.
517,518,flood,crisis,1,The US patent system is in a crisis that has been caused by the flood of patent applications being filed at the USPTO every year.
527,528,viruses,infection,1,Viral gastroenteritis is a highly contagious infection of the intestines caused by one of several viruses.
535,536,drinks,diabetes,1,Diet fizzy drinks and meat cause heart disease and diabetes.
536,537,loss,grief,1,"We explore the experience of grief after the loss of a parent and offers support; we also make simple suggestions, and we provide a place for sharing memories."
539,540,war,mentality,1,The war mentality was generated by the Iraq war in combination with the constant drum beat of fear at home.
544,545,preeclampsia,mortality,1,Preeclampsia is still one of the leading causes of maternal mortality.
550,551,demolition,terror,1,The demolition was the cause of terror and communal divide is just a way of not letting truth prevail.
558,559,outbreak,injuries,1,"The outbreak resulted in 256 deaths and 3,402 injuries."
575,576,indigestion,pain,1,"Sip the tea slowly to reduce stomach pain from indigestion, bloating and feeling of fullness."
577,578,alcohol,child abuse,1,"Alcohol, substance abuse and poverty all lead to child abuse."
578,579,malfunction,rush,1,The ATM malfunction caused a rush on the ATM machine until the police sealed off the area.
592,593,sodium,retention,1,"Sodium causes fluid retention, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure."
601,602,vehicle,damages,1,In businesses generally the third party claims for the damages that has been caused by the company vehicle.
615,616,law,redistribution,1,The law established a major redistribution of territorial sovereignty within the Empire.
616,617,virus,tonsillitis,1,Infectious mononucleosis due to the Epstein-Barr virus causes exudative tonsillitis or pharyngitis in about one-half of cases.
621,622,crash,explosion,1,"During the trial, the prosecution presented ""pictures of burning bodies and human remains as well as images of the explosion triggered by the Pentagon crash."""
624,625,strikers,damage,1,Extensive damage at the mine has been caused by the strikers.
642,643,wine,headache,1,"I too, get a headache from wine, and was always told that it was the sulfites."
656,657,hurricane,harm,1,"Describing all of the harm caused by the hurricane has filled entire books so this Web page summarizes the total damage and focuses on the damage incurred on Long Island, New York."
664,665,organism,disease,1,"Information is included on the disease caused by the organism, its transmission, geographical distribution, and hosts."
670,671,infection,death,1,"Infection is one of the commonest causes of death in burn patients, particularly."
673,674,death,breakdown,1,I was diagnosed with bipolar disorder following a breakdown triggered by the sudden death of my brother six years ago.
685,686,meltdown,reaction,1,The reactor meltdown caused a chain reaction that destroyed all the towers in the network.
692,693,fever,convulsions,1,Convulsions that occur after DTaP are caused by a fever.
703,704,collision,fire,1,"As the vehicles caught fire after the collision, the transformers began to explode one after the other."
705,706,fog,irritation,1,Fog or smoke cause irritation to those with respiratory sensitivity.
713,714,sinking,loss,1,"The sinking resulted in the loss of 112 lives, including those of 28 Americans."
718,719,pain killers,headaches,1,Chronic daily headaches are tension headaches or headaches which are caused by taking too many pain killers.
735,736,bacteria,meningitis,1,"Pneumococcal meningitis is caused by pneumococcus bacteria, which also cause several diseases of the respiratory system, including pneumonia."
745,746,spray,rainbow,1,Also (on a proportional basis) the rainbow caused by the spray appeared smaller than that of the other rainbow.
755,756,hormone,changes,1,The changes now seen in the endometrium are caused by a hormone called progesterone.
757,758,waste,fumes,1,"The waste, a mixture of gasoline, water and caustic soda, gave off toxic fumes."
771,772,problems,weak ligaments,1,Weak ligaments are caused by problems with collagen (protein fibres in the ligaments).
775,776,advertisements,murders,1,This article discusses the ethics of the Soldier of Fortune's guns-for-hire advertisements that resulted in several murders across the United States.
801,802,battle,panic,1,"The battle caused a panic on the frontier, and settlers in the surrounding counties fled."
805,806,dams,power,1,"For decades, most of the nation's renewable power has come from dams, which supplied cheap electricity without requiring fossil fuels."
808,809,laser,signal,1,"The optical signal is generated by an externally modulated tunable laser, and introduced to the chip through a tapered fiber."
809,810,resignation,byelection,1,The byelection was caused by the resignation of Boris Johnson following his election as mayor of London in May.
810,811,speculation,structure,1,Swissair was a victim of the clandestine wealth-transfer plaguing the productive sector as a result of the falling interest-rate structure caused by bond speculation.
816,817,drill,evacuation,1,He received reports from the residence hall presidents regarding evacuation after the fire drill.
824,825,earthquakes,tsunamis,1,"The tsunamis triggered by the massive earthquakes plunged those provinces into crisis: the number of people dead and missing has reached to 245,782 people."
827,828,deregulation,damage,1,We have to take into account the reality of the damage that has been caused by the deregulation of nutritional supplements.
836,837,estrogen dominance,osteoporosis,1,"Estrogen dominance is one of the main causes of osteoporosis, cancer, ovarian cysts, fibroids and a host of other female problems in the U.S."
857,858,germs,illnesses,1,The great news is that germs causing recreational water illnesses are killed by chlorine.
876,877,substance,disruption,1,The disruption has been caused by a sensitivity reaction in the brain to an ingested substance.
877,878,rainfall,landslide,1,"The enormous landslide, which was triggered by an exceptionally heavy rainfall event (500 mm in 24 h) on 30 October 1998."
896,897,gas,pyrolysis,1,The heated gas caused a pyrolysis on the lower part of oil shale and produced shale oil and oil shale gas are escaped from the retort through exhaust pipe.
911,912,prices,collapse,1,The low oil prices caused the collapse of the wall and the Russian empire.
916,917,parasite,pain,1,The pain was caused by the parasite entering the body through the skin during bathing or drinking of infested water.
919,920,temperature,reaction,1,"The reaction starts at a rather low temperature ( + 5C), and the calorimeter is run from 40 to 130C."
954,955,teaching,joy,1,I derive a tremendous amount of joy from teaching students in the research laboratory.
958,959,events,problem,1,A very serious problem ensued from the events of the day.
962,963,writing,revolution,1,A first revolution was triggered by the growing use of reading and writing.
969,970,train,vibration,1,"The vibration caused by a heavy goods train on the Metropolitan Railway, which runs under the Exhibition premises, had shaken the figure off its balance."
975,976,lightning,surges,1,"Voltage surges or spikes are caused by lightning, short circuits, power company equipment problems, and inductive spikes, among many other causes."
977,978,crisis,damage,1,"The recovery is weak and fragile, and the economic and social damage caused by the crisis is long-lasting."
978,979,fungi,mycoses,1,The cutaneous mycoses are caused by a homogeneous group of keratinophilic fungi termed the dermatophytes.
979,980,collapse,crisis,1,"Recovery from the global economic crisis triggered by the collapse of Lehman Brothers was achieved with cooperation from Brazil, Russia, India and China."
980,981,microphone,signal,1,The microphone converts sound into an electrical signal.
994,995,expansion,swelling,1,Swelling of the resin is caused by the expansion of the structure as a result of water (or other liquid) molecules penetrating the matrix.
995,996,design,setbacks,1,"There were setbacks and technical problems that ensued from the location design, flooding, and moisture that plagued the winery and bumped up the investment cost beyond the initial budgetary estimates."
1002,1003,clot,infraction,1,"We find evidence that Ernst suffered a thrombotic cardiovascular event, i.e., a myocardial infraction triggered by a blood clot."
1022,1023,effect,peakeffect,1,"The breakdown of the linear relation of J,1 D at peakeffect region indicates that the peakeffect originates from an addition pinning effect."
1034,1035,wine,headache,1,"However, a headache from wine is often stronger and last longer due to several compounds."
1038,1039,impulses,heartbeat,1,The Maze procedure crates new pathways for the electrical impulses that trigger the heartbeat.
1044,1045,injuries,migraines,1,We discovered that my chronic migraines and neck pain were caused by the injuries I had sustained in my first car accident two and a half years ago.
1051,1052,rains,overflow,1,"The continuous rains had caused the overflow of Sulangaling River, a creek of the Muara Batang."
1057,1058,sun,evaporation,1,"Sun and wind cause evaporation of water, causing rains, and this energy can be caught using hydroelectric power."
1061,1062,delusions,distress,1,He schose the better approach: to be honest and understanding and to acknowledge the distress caused by the hallucinations or delusions.
1063,1064,fatigue,corrosion,1,"Fatigue corrosion and stress corrosion are similar, as both are caused by external stresses applied to the pipe and occur inside of the pipe."
1080,1081,stress,weight gain,1,The best kept secret for avoiding abdominal weight gain due to stress is the use of adaptogens.
1093,1094,earthquake,toll,1,"Vietnam's response on the toll caused by the earthquake in Sichuan, China."
1107,1108,state,problem,1,"Their analysis demonstrates beyond any doubt that the problem of unemployment has been caused by the state, not by any inherent flaws or failures in a free market."
1116,1117,inequality,riots,1,The inequality and poverty caused the riots in 2001.
1138,1139,body,heat,1,It seems like the fever heat got pushed out from the body as rashes.
1167,1168,properties,discolouration,1,The yellow discolouration has been caused by the damaging acidic properties of the low-grade mount used in the original frame.
1182,1183,tsunami,damage,1,The damage caused by the tsunami - at least the physical damage - is barely visible in some places.
1201,1202,resonance,gaps,1,The gaps in the rings are caused by resonance between the particles in the rings and the moons orbiting nearby.
1219,1220,conflict,destruction,1,"The resulting conflict caused the destruction of the town, and The Conqueror, Wisecrack, Jackdaw and most of the citizens of the town were transported to a demon-dimension."
1221,1222,impact,torsion,1,"As the right front wheel of Senna's car hit the wall, the violent impact caused a torsion on the steering column, causing it to break."
1229,1230,weather,accidents,1,The weather resulted in several deaths and hundreds of accidents.
1244,1245,asteroid,extinction,1,Sixty five million years ago an asteroid caused the extinction of the dinosaurs.
1246,1247,accident,delays,1,Amtrak expects a normal rush hour after a fatal accident near Baltimore caused delays along the Northeast corridor.
1247,1248,helicobacter,ulcer,1,"As we saw earlier, helicobacter is responsible for causing stomach ulcer."
1248,1249,fungus,ringworm,1,"Over 90% of the cases of ringworm of the scalp are caused by Trichophyton tonsurans, a fungus that infects the hairs and causes them to break."
1251,1252,breakdown,shoulder problems,1,Many shoulder problems are caused by the breakdown of soft tissues in the shoulder region.
1254,1255,influx,mania,1,"Tulip mania, in the 1600s, was caused by the massive influx of newly discovered Gold into Amsterdam from the new world: in particular the capture of the Spanish Treasury fleet."
1260,1261,disease,pain,1,"Currently, there is no known cure for asbestos cancer but several mesothelioma treatment regimens have proven to be successful in helping the patient avoid pain and discomfort caused by the disease."
1272,1273,divorce,deprivation,1,The patient experiences displaced emotional and financial deprivation as well as anger after the divorce.
1292,1293,smoke,kidney failures,1,Smoke is one of the leading causes of kidney failures.
1295,1296,germs,disease,1,Germs are microscopic organisms that cause sickness or disease.
1304,1305,virus,fever,1,"Yellow fever is caused by infection with yellow fever virus, which is transmitted by the bite of infected mosquitoes."
1326,1327,boiling water,burns,1,"Even though his 16-month old suffered from severe burns on her body caused by boiling water spilled on her, father refuses to allow ambulance to take his daughter to Hadassah because 'rabbi advised otherwise'."
1350,1351,dermatitis,itchiness,1,"Atopic dermatitis, the most common type of eczema, causes itchiness that's worse in the colder months."
1363,1364,toxin,illness,1,Botulism is a rare but serious paralytic illness caused by a nerve toxin that is produced by the bacterium Clostridium botulinum.
1371,1372,inflation,benefits,1,"The benefits from inflation which Professor Mulligan cites (e.g., bailing out underwater mortgagers) are better understood as a government sponsored transfer of wealth from savers to speculators."
1374,1375,pop,concerto,1,"The concerto comes from the pop of gas bubbles escaping the joints, snapping tendons and ligaments, and rickety arthritic joints."
1388,1389,infection,irritation,1,A urinary tract infection (UTI) is the most common cause of bladder irritation.
1390,1391,protest,jams,1,"The protest resulted in hours of traffic jams on Guangzhou's major roads, such as Guangyuanxi Lu, Huangshidong Lu and Dongfeng Lu."
1393,1394,arrival,trauma,1,Evacuees with disabilities had a difficult time conveying the trauma caused by the unexpected arrival of uniformed officers who ordered them out of their homes and sometimes forcibly removed them.
1397,1398,lavas,eruption,1,Highly viscous lavas lead to a violent eruption.
1403,1404,inflammation,cysts,1,The cysts are caused by chronic inflammation of the perichondrium with production of serous fluid between the perichondrium and cartilage.
1405,1406,refugees,disease,1,"Some posters (e.g. number 18) encouraged the population of areas near the front to evacuate, thus avoiding the overcrowding and ensuing problems of food distribution and disease caused by the incoming refugees."
1407,1408,complaint,lead,1,"If a participant complaint is the source of an investigative lead, interim contact with the participant should be made by the investigator."
1410,1411,militia,violence,1,The violence has been caused by the Hutu militia who fled Rwanda after the genocide in that country and who have been in hiding in the forest in Congo.
1411,1412,clock,chime,1,The clock struck twelve with a loud chime that made me jump.
1425,1426,signs,stir,1,Signs placed at the flagpole island at the village square caused a stir on the Linglestown forum on PennLive.com.
1434,1435,spilling,burn,1,"Lena Basilone, a cook at Camp Pendleton, was in the hospital recovering from a severe kitchen burn after the spilling of scalding liquid on her feet."
1435,1436,selling,revenues,1,Gross revenues from the selling of crude oil in 2003 reached US$11.508 billion or some 112.85 percent of the amount targeted in the 2003 state budget.
1436,1437,bacteria,infection,1,"Whooping cough is another name for the pertussis, an infection of the airways caused by the bacteria bordetella pertussis."
1445,1446,recession,hardship,1,"And it is why we are even prouder to announce that the appeal - thanks to the generosity of our readers - has raised 26,000 pounds, despite the hardship that has been caused by the recession."
1446,1447,overflows,problems,1,The problems are caused by buffer overflows when parsing an overly long parameter.
1473,1474,contingent,discussion,1,Discussion ensued from the Florida contingent on the fact that very stringent landowner protection laws in Florida make it imperative that the highest supportable appraised vallue be offered first.
1511,1512,candle,light,1,"We find the candle light creates a special atmosphere not only for food, but ambiance for a relaxing convivial meal as well."
1516,1517,bacteria,inflammation,1,"Symptoms vary according to the degree of inflammation caused by the bacteria, ranging from slightly loose stools to bloody diarrhea, abdominal pain, and fever."
1520,1521,winds,cancellations,1,High winds caused delays and cancellations of some state ferries.
1521,1522,wheels,grinding noise,1,The front wheels are making a grinding noise.
1522,1523,disorder,impairment,1,Williams syndrome: a genetic disorder that results in selective cognitive impairment.
1534,1535,mess,crisis,1,And the economic crisis was generated due to the sub-prime mortgage mess brought about through government intervention in the market to promote progressive ideals (ie extending loans to low-income borrowers).
1536,1537,recession,crisis,1,"By the late 1980s, however, the Bank was caught up in the debt crisis in the developing world caused by the recession and the dramatic rise in interest rates."
1540,1541,inflation,profits,1,The risks to housing and general corporate profits from inflation were quite clear and the defensive strategy over the long term has paid dividends.
1544,1545,surgery,discomfort,1,There is relatively little discomfort from this surgery and most individuals rarely take more than Tylenol for their discomfort.
1546,1547,fats,disease,1,"Fats from meat and dairy cause heart disease, the leading killer of people with diabetes."
1552,1553,interactions,contortions,1,The contortions are caused by gravitational interactions with the small satellites Prometheus and Pandora.
1570,1571,smile,hope,1,"This smile, a true reflection of God's tenderness, is the source of an invincible hope."
1572,1573,earthquake,marsh,1,"The earthquake caused a bulrush marsh at West Point, on the Puget Sound shore in Seattle, to drop and the tsunami deposited sand on top of the marsh."
1573,1574,floats,amazement,1,The greatest amazement was caused by the floats.
1579,1580,overdose,collapse,1,"Treatment of cardiovascular collapse from caffeine overdose with lidocaine, phenylephrine, and hemodialysis."
1594,1595,viruses,outbreaks,1,"To date, all outbreaks of the highly pathogenic form of avian influenza have been caused by viruses of the H5 and H7 subtypes."
1602,1603,longings,tension,1,Wes Anderson has made one classic comedy(The Royal Tenenbaums) fueled by the tension from the characters' longings to burst out of the trappings in which they are framed.
1615,1616,preparations,increase,1,"In general, the greatest hypocalcemic effect was achieved by those liposomal preparations that resulted in the most sustained increase of L-hCT and F-hCT in plasma."
1628,1629,overpopulation,poverty,1,Poverty is caused by overpopulation.
1632,1633,setbacks,unemployment,1,The economic setbacks of 1893 had created unemployment and poverty which caused migration in search of new opportunities.
1641,1642,software,drain,1,The software caused a pretty good drain on the CPU for some reason.
1644,1645,system,harm,1,The harm has been caused by the invitation system.
1648,1649,selling,fortune,1,Alfred Nobel created his fortune from the selling of explosives that utilized nitroglycerin.
1650,1651,bacteria,acne,1,Proper washing and skin care can help to remove bacteria and oils which cause acne.
1656,1657,lack,reliance,1,The lack of stability caused a strong reliance on the colonizers.
1669,1670,tectonic forces,eruptions,1,"The eruptions are caused by tectonic forces or by the compaction of sediments at the deltas of large rivers, such as the Mississippi."
1675,1676,war,damage,1,Lenin and the other leaders of the Soviet Union set about repairing the damage caused by the revolution and the civil war.
1684,1685,press,reaction,1,"The reaction from the international press, which I am sure you here in Tokyo have noticed, has been very wide and detailed."
1687,1688,crash,seismic event,1,"When the first model sank in August 1991, the crash caused a seismic event registering 3.0 on the Richter scale, and left nothing but a pile of debris at 220m of depth."
1697,1698,accident,death,1,"For example, driving recklessly and causing an auto accident that result in the death of another driver or passenger could be qualified as manslaughter."
1698,1699,storm,death,1,That coupled with the death and destruction caused by the storm was a very traumatic experience for these residents.
1703,1704,wound,infection,1,The infection came from a wound.
1705,1706,cell phones,radiation,1,The emission of electromagnetic radiation from cell phones continues to become a growing concern.
1718,1719,selling,profit,1,Sumatera (Yagasu) made a profit from the selling of women groups' handicrafts activities.
1727,1728,frustrations,stress,1,"Frustrations, threats, and conflicts cause stress."
1746,1747,selling,profit,1,"Cyber squatter- A person who buys domain names, and holds them with the intent of making a profit from the selling of the domain name."
1757,1758,defects,dystrophies,1,"The muscular dystrophies are caused by genetic defects, which means they are inherited at birth."
1763,1764,reasons,aberrations,1,"In a two-mirror telescope equipped with an active optics system usually M2 is used to correct the aberrations originated by optical reasons, i.e. defocus and coma."
1764,1765,addition,reaction,1,"The addition of water to the tank caused a runaway chemical reaction, resulting in a rapid rise in pressure and temperature."
1769,1770,slugs,damage,1,"Snails and slugs cause damage to seedlings, flowers, vegetables and shrubs."
1777,1778,snowstorm,catastrophe,1,The snowstorm caused a major catastrophe on the West Virginia Turnpike.
1779,1780,glaucoma,blindness,1,Glaucoma is one of the leading causes for blindness and currently about 90 million patients worldwide are affected by the disease.
1783,1784,germs,influenza,1,There are everyday actions that can help prevent the spread of germs that cause respiratory illnesses like influenza.
1784,1785,virus,outbreak,1,The outbreak was caused by the live polio virus that is used in vaccines given orally the preferred method in developing countries because it is cheaper and doesn't require medical training to dispense.
1810,1811,drugs,nausea,1,"These drugs also cause headaches and nausea, affect your internal organs and raise your bad cholesterol."
1814,1815,laughing,dissatisfaction,1,Well I know quite a few people who get dissatisfaction from laughing at retards.
1825,1826,immigrants,population,1,Immigrants accounted for more than half of Britain's population growth in recent years.
1827,1828,explosion,damage,1,Iraqi soldiers inspect the damage after the explosion in a school in Baghdad.
1865,1866,selling,commission,1,The broker is entitled to commission from the selling of your property.
1874,1875,unemployment,alcoholism,1,Parental pressures of unemployment and poverty lead to drug abuse and alcoholism or stress and depression which have a profound effect on children.
1888,1889,current,magnetic field,1,The magnetic field is generated by an electric current circulating in the star's interior.
1891,1892,species,noise,1,The species makes a squelching noise.
1896,1897,unity,power,1,"The political unity of the Iroquois was the source of their power, but it was by no means perfect."
1904,1905,storm,devastations,1,Here are the news reports and photographs of the devastations caused by the storm.
1916,1917,vaccum,movement,1,The movement of the flag on the surface of the moon was caused by the vaccum.
1921,1922,bacteria,breakouts,1,"Propionibacteria acnes, or P. acnes, are the bacteria responsible for acne breakouts."
1934,1935,extraction,extinction,1,Oil extraction in the Amazon has already caused the extinction of the Tetete and Zaparo nationalities and continues to threaten indigenous peoples.
1937,1938,generator,signal,1,The 100 MHz RF signal for the amplitude modulator was derived from a pulse pattern generator (PPG).
1940,1941,earthquake,seismic arrival,1,"The first seismic arrival from an earthquake is the P wave, which is usually relatively low-amplitude."
1945,1946,earthquake,trauma,1,"These centres, along with appropriate educational and psychosocial interventions, helped children overcome the trauma and stress caused by the earthquake."
1947,1948,fog,cancellation,1,American skiier Lindsey Vonn denied downhill treble as fog caused cancellation in Val d'Isere.
1970,1971,tsunami,damage,1,The tsunami resulted in significant property damage but only two fatalities in RS.
1982,1983,city,anger,1,"By the end of the work day, the anger was radiating from the city."
1986,1987,waves,destruction,1,"In view of the terrible destruction that was caused by the flood waves, we have to fear that a number of Germans, clearly in the three-digit numbers, will be among the dead."
2000,2001,lapse,screaming,1,It's hell in the hospitals where the amputees's screaming after the lapse of morphine is heard all the time.
2004,2005,drugs,disease,1,Scientists discovered that these drugs were related to heart valve disease.
2014,2015,criminals,fire,1,The criminals that caused the fire illegally entered our country.
2046,2047,lorry,delays,1,"A jack-knifed lorry caused delays on the A27 eastbound between Havant, Hampshire, and Chichester, West Sussex."
2047,2048,viruses,illness,1,"Viruses that cause respiratory illness typically are capable of causing a range of clinical manifestations, and asymptomatic infections are possible."
2070,2071,lorries,emissions,1,"92% of the CO2 emissions are caused by the lorries, but this is not fair so a different distribution method is needed."
2075,2076,hydraulic mining,erosion,1,"Widely previously interpreted as precursory activity to the 1906 earthquake, they have been found to have a strong seasonal pattern and have been postulated to be due to large seasonal sediment loads in coastal bays that overlie faults as a result of the erosion caused by hydraulic mining in the later years of the California Gold Rush."
2088,2089,shortage,anemia,1,"A shortage of folate cause megaloblastic anemia, where red blood cells are large and pale."
2093,2094,snow,spill,1,Rains and melting snow lead to Genesee County's biggest sewage spill of the year.
