,head,type,tail,Confidence
62,interpretation,facet of,natural language,0.08333333333333333
63,natural language,instance of,interpretation,0.08333333333333333
64,interpretation,studies,natural language,0.08333333333333333
65,automated interpretation,facet of,natural language,0.08333333333333333
66,interpretation,uses,natural language,0.16666666666666666
67,natural language,used by,interpretation,0.16666666666666666
68,Chinese room experiment,discoverer or inventor,John Searle,0.1
69,Chinese room experiment,named after,John Searle,0.1
70,Chinese room experiment,creator,John Searle,0.1
71,Chinese room experiment,developer,John Searle,0.1
72,Chinese room experiment,author,John Searle,0.1
73,Chinese room experiment,discoverer or inventor,John Searle's,0.1
74,Chinese room experiment,designed by,John Searle,0.1
75,Chinese room experiment,named after,John Searle's,0.1
76,Chinese room experiment,participant,John Searle,0.1
77,Chinese room experiment,creator,John Searle's,0.1
78,Georgetown experiment,point in time,1954,0.18181818181818182
79,Georgetown experiment,publication date,1954,0.09090909090909091
80,Georgetown experiment,inception,1954,0.09090909090909091
81,Georgetown experiment,start time,1954,0.09090909090909091
82,The Georgetown experiment,point in time,1954,0.09090909090909091
83,The Georgetown experiment,publication date,1954,0.09090909090909091
84,Georgetown experiment,instance of,fully automatic translation,0.18181818181818182
85,Georgetown experiment in 1954,point in time,1954,0.09090909090909091
86,The Georgetown experiment,inception,1954,0.09090909090909091
87,machine translation,subclass of,problem,0.1
88,translation,subclass of,machine translation,0.1
89,machine translation,subclass of,solved problem,0.1
90,machine translation,instance of,solved problem,0.1
91,2008 Summer Olympics,point in time,2008,0.1
92,solved problem,facet of,machine translation,0.1
93,solved problem,subclass of,machine translation,0.1
94,machine translation,instance of,problem,0.1
95,translation,facet of,machine translation,0.1
96,CERN,country,Switzerland,0.1
97,ALPAC report,publication date,1966,0.1
98,ALPAC,publication date,1966,0.1
99,ALPAC report in 1966,publication date,1966,0.1
100,ALPAC report,main subject,machine translation,0.1
101,ALPAC report,point in time,1966,0.1
102,ALPAC report in 1966,point in time,1966,0.1
103,ALPAC,field of work,machine translation,0.1
104,ALPAC report,inception,1966,0.1
105,ALPAC,inception,1966,0.1
106,ALPAC,point in time,1966,0.1
107,statistical machine translation,subclass of,machine translation,0.23076923076923078
108,1980s,point in time,1980,0.07692307692307693
109,first statistical machine translation systems,use,machine translation,0.23076923076923078
110,statistical machine translation,instance of,machine translation,0.23076923076923078
111,first statistical machine translation systems,publication date,1980,0.07692307692307693
112,machine translation systems,use,machine translation,0.07692307692307693
113,statistical machine translation,use,machine translation,0.07692307692307693
114,ELIZA,developer,Joseph Weizenbaum,0.2
115,SHRDLU,developer,Joseph Weizenbaum,0.26666666666666666
116,ELIZA,creator,Joseph Weizenbaum,0.2
117,ELIZA,designed by,Joseph Weizenbaum,0.13333333333333333
118,Joseph Weizenbaum,notable work,ELIZA,0.06666666666666667
119,SHRDLU,creator,Joseph Weizenbaum,0.13333333333333333
120,emotion,subclass of,thought,0.09090909090909091
121,emotion,part of,thought,0.09090909090909091
122,emotion,facet of,thought,0.09090909090909091
123,thought,different from,emotion,0.18181818181818182
124,emotion,different from,thought,0.18181818181818182
125,emotion,has effect,thought,0.09090909090909091
126,thought,has effect,emotion,0.09090909090909091
127,emotion,part of,human thought,0.09090909090909091
128,emotion,instance of,thought,0.09090909090909091
129,My head hurts,said to be the same as,Why do you say your head hurts?,0.25
130,Why do you say your head hurts?,said to be the same as,My head hurts,0.08333333333333333
131,My head hurts,instance of,Why do you say your head hurts?,0.08333333333333333
132,"Why do you say your head hurts?"".",said to be the same as,My head hurts,0.08333333333333333
133,ELIZA,use,generic response,0.08333333333333333
134,My head hurts,has part,Why do you say your head hurts?,0.08333333333333333
135,Why do you say your head hurts?,facet of,My head hurts,0.08333333333333333
136,Why do you say your head hurts?,main subject,My head hurts,0.08333333333333333
137,My head hurts,subclass of,Why do you say your head hurts?,0.08333333333333333
138,ELIZA,use,My head hurts,0.08333333333333333
139,1970s,point in time,1970,0.25
140,ontologies,subclass of,structured real-world information,0.08333333333333333
141,conceptual ontologies,subclass of,structured real-world information,0.16666666666666666
142,ontologies,subclass of,structured,0.08333333333333333
143,conceptual ontologies,inception,1970,0.16666666666666666
144,ontologies,subclass of,computer-understandable data,0.08333333333333333
145,conceptual ontologies,subclass of,structured,0.08333333333333333
146,computer-understandable data,subclass of,structured real-world information,0.08333333333333333
147,MARGIE,developer,Schank,0.25
148,Plot Units,publication date,1981,0.0625
149,MARGIE,author,Schank,0.0625
150,MARGIE,creator,Schank,0.0625
151,MARGIE,designed by,Schank,0.0625
152,SAM,developer,Cullingford,0.1875
153,MARGIE,publication date,1975,0.0625
154,Plot Units,inception,1981,0.0625
155,PAM,developer,Wilensky,0.125
156,TaleSpin,developer,Meehan,0.0625
157,PARRY,instance of,chatterbot,0.1
158,PARRY,instance of,chatterbots,0.1
159,PARRY,use,chatterbot,0.1
160,PARRY,use,chatterbots,0.1
161,PARRY,subclass of,chatterbot,0.1
162,PARRY,subclass of,chatterbots,0.1
163,PARRY,genre,chatterbot,0.1
164,PARRY,genre,chatterbots,0.1
165,PARRY,uses,chatterbot,0.1
166,PARRY,product or material produced,chatterbot,0.1
167,1980s,point in time,1980,0.6
168,1990s,point in time,1990,0.15
169,1980s,followed by,1990s,0.1
170,1990s,follows,1980s,0.05
171,symbolic methods,subclass of,NLP,0.05
172,symbolic methods,part of,NLP,0.05
173,two-level morphology,subclass of,morphology,0.08333333333333333
174,two-level morphology,part of,morphology,0.08333333333333333
175,Lesk algorithm,use,parsing,0.08333333333333333
176,Lesk algorithm,instance of,parsing,0.08333333333333333
177,syntax,studied by,natural language understanding,0.08333333333333333
178,natural language understanding,studies,syntax,0.08333333333333333
179,two-level morphology,facet of,morphology,0.08333333333333333
180,syntax,part of,natural language understanding,0.08333333333333333
181,parsing,studied by,natural language understanding,0.08333333333333333
182,natural language understanding,studies,parsing,0.08333333333333333
183,Centering Theory,facet of,natural language understanding,0.08333333333333333
184,Centering Theory,subclass of,natural language understanding,0.08333333333333333
185,Racter,instance of,chatterbot,0.15384615384615385
186,Jabberwacky,instance of,chatterbot,0.15384615384615385
187,Racter,instance of,chatterbots,0.15384615384615385
188,Jabberwacky,instance of,chatterbots,0.15384615384615385
189,Racter,subclass of,chatterbot,0.15384615384615385
190,Racter,use,chatterbot,0.07692307692307693
191,Jabberwacky,subclass of,chatterbot,0.07692307692307693
192,Racter,use,chatterbots,0.07692307692307693
193,1990s,point in time,1990,0.1
194,quantitative evaluation,part of,statistical,0.1
195,quantitative evaluation,subclass of,statistical,0.1
196,statistical turn in the 1990s,point in time,1990,0.1
197,statistical turn,facet of,quantitative evaluation,0.1
198,quantitative evaluation,part of,statistical turn,0.1
199,quantitative,subclass of,evaluation,0.1
200,quantitative evaluation,facet of,statistical,0.1
201,quantitative,part of,statistical,0.1
202,Statistical turn,facet of,quantitative evaluation,0.1
203,Statistical NLP,subclass of,natural language processing,0.1
204,NLP,subclass of,natural language processing,0.1
205,natural language processing,has part,Statistical NLP,0.1
206,Natural language processing,has part,Statistical NLP,0.1
207,Statistical NLP,part of,natural language processing,0.1
208,Statistical NLP (1990s–2010s),subclass of,natural language processing,0.1
209,Statistical NLP,instance of,natural language processing,0.1
210,Statistical NLP,facet of,natural language processing,0.1
211,Natural language processing,has part,NLP,0.1
212,NLP,part of,natural language processing,0.1
213,machine learning,part of,natural language processing,0.18181818181818182
214,natural language processing,subclass of,language processing,0.09090909090909091
215,machine learning,influenced by,natural language processing,0.09090909090909091
216,machine learning,subclass of,algorithms,0.09090909090909091
217,machine learning,subclass of,algorithm,0.09090909090909091
218,natural language processing,subclass of,machine learning,0.09090909090909091
219,machine learning,use,natural language processing,0.09090909090909091
220,machine learning,part of,language processing,0.18181818181818182
221,machine learning algorithms,part of,natural language processing,0.09090909090909091
222,Chomskyan,field of work,theories of linguistics,0.1
223,Chomskyan,field of work,linguistics,0.1
224,Moore's law,facet of,computational power,0.1
225,Moore's law,has effect,computational power,0.1
226,Chomskyan theories,field of work,linguistics,0.1
227,Moore's law,subclass of,computational power,0.1
228,Chomskyan,genre,theories of linguistics,0.1
229,Chomskyan theories of linguistics,facet of,Moore's law,0.1
230,Moore's law,main subject,computational power,0.1
231,Moore's law,has cause,computational power,0.1
232,machine-learning,part of,language processing,0.13333333333333333
233,language processing,has part,machine-learning,0.2
234,machine-learning,use,language processing,0.2
235,machine-learning,subclass of,language processing,0.13333333333333333
236,language processing,uses,machine-learning,0.06666666666666667
237,machine-learning approach,part of,language processing,0.13333333333333333
238,language processing,has part,machine-learning approach,0.06666666666666667
239,machine-learning approach,subclass of,language processing,0.06666666666666667
240,IBM alignment models,developer,IBM Research,0.16666666666666666
241,IBM alignment model,developer,IBM Research,0.16666666666666666
242,IBM alignment models,use,machine translation,0.16666666666666666
243,IBM alignment model,use,machine translation,0.16666666666666666
244,IBM Research,field of work,machine translation,0.08333333333333333
245,IBM alignment,developer,IBM Research,0.08333333333333333
246,IBM alignment models,creator,IBM Research,0.08333333333333333
247,IBM alignment models,facet of,machine translation,0.08333333333333333
248,European Union,legislative body,Parliament of Canada,0.07692307692307693
249,Parliament of Canada,field of work,official language,0.07692307692307693
250,European Union,instance of,official language,0.07692307692307693
251,Parliament of Canada,field of work,official languages,0.07692307692307693
252,Parliament of Canada,instance of,systems of government,0.07692307692307693
253,Canada,diplomatic relation,European Union,0.07692307692307693
254,European Union,diplomatic relation,Canada,0.07692307692307693
255,Parliament of Canada,part of,systems of government,0.15384615384615385
256,Parliament,country,Canada,0.07692307692307693
257,Canada,legislative body,Parliament,0.07692307692307693
258,systems of government,has part,Parliament of Canada,0.07692307692307693
259,Parliament of Canada,part of,European Union,0.07692307692307693
260,corpora,subclass of,systems,0.08333333333333333
261,corpora,part of,systems,0.16666666666666666
262,corpora,part of,system,0.16666666666666666
263,systems,has part,corpora,0.16666666666666666
264,corpora,instance of,systems,0.08333333333333333
265,corpora,subclass of,system,0.08333333333333333
266,corpora,facet of,systems,0.08333333333333333
267,system,has part,corpora,0.16666666666666666
268,data,use,learning,0.08333333333333333
269,learning,uses,data,0.16666666666666666
270,learning,studies,data,0.08333333333333333
271,data,studied by,learning,0.08333333333333333
272,data,has effect,learning,0.08333333333333333
273,learning,has part,data,0.08333333333333333
274,more effectively learning,uses,data,0.08333333333333333
275,data,used by,learning,0.08333333333333333
276,data,facet of,learning,0.08333333333333333
277,limited amounts of data,subclass of,learning,0.08333333333333333
278,methods of more effectively learning,uses,data,0.08333333333333333
279,2000s,point in time,2000,0.2727272727272727
280,web,inception,2000,0.09090909090909091
281,web,point in time,2000,0.09090909090909091
282,web,start time,2000,0.09090909090909091
283,1990s,followed by,2000s,0.09090909090909091
284,growth of the web,point in time,2000,0.09090909090909091
285,web,has part,data,0.09090909090909091
286,web,publication date,2000,0.09090909090909091
287,language data,subclass of,raw,0.09090909090909091
288,semi-supervised learning,subclass of,unsupervised,0.06666666666666667
289,unsupervised,subclass of,semi-supervised learning,0.06666666666666667
290,semi-supervised,subclass of,unsupervised,0.06666666666666667
291,semi-supervised learning,subclass of,algorithms,0.13333333333333333
292,unsupervised,subclass of,algorithms,0.13333333333333333
293,semi-supervised learning,subclass of,algorithm,0.06666666666666667
294,semi-supervised,subclass of,algorithms,0.06666666666666667
295,unsupervised,subclass of,learning algorithms,0.06666666666666667
296,semi-supervised,subclass of,learning algorithms,0.06666666666666667
297,unsupervised,subclass of,learning algorithm,0.06666666666666667
298,semi-supervised,subclass of,learning algorithm,0.06666666666666667
299,unsupervised,subclass of,algorithm,0.06666666666666667
300,semi-supervised,subclass of,algorithm,0.06666666666666667
301,annotated,subclass of,learn,0.09090909090909091
302,learn,subclass of,algorithm,0.09090909090909091
303,annotated,different from,hand-annotated,0.18181818181818182
304,hand-annotated,subclass of,learn,0.09090909090909091
305,non-annotated data,subclass of,learn,0.09090909090909091
306,learn from data,subclass of,algorithm,0.09090909090909091
307,annotated,subclass of,data,0.09090909090909091
308,annotated,use,learn,0.09090909090909091
309,hand-annotated,subclass of,learn from data,0.09090909090909091
310,non-annotated,different from,hand-annotated,0.09090909090909091
311,supervised learning,uses,input data,0.16666666666666666
312,input data,used by,supervised learning,0.08333333333333333
313,supervised learning,has part,input data,0.08333333333333333
314,supervised learning,uses,data,0.08333333333333333
315,less accurate results,facet of,supervised learning,0.08333333333333333
316,more difficult,opposite of,supervised learning,0.08333333333333333
317,more difficult,different from,supervised learning,0.16666666666666666
318,supervised learning,different from,more difficult,0.08333333333333333
319,less accurate results,subclass of,supervised learning,0.08333333333333333
320,supervised learning,subclass of,input data,0.08333333333333333
321,World Wide Web,has part,non-annotated data,0.09090909090909091
322,entire content,part of,World Wide Web,0.18181818181818182
323,entire content,facet of,World Wide Web,0.09090909090909091
324,content,part of,World Wide Web,0.09090909090909091
325,non-annotated data,part of,World Wide Web,0.09090909090909091
326,data,part of,World Wide Web,0.09090909090909091
327,World Wide Web,has part,entire content,0.09090909090909091
328,entire content of the World Wide Web,subclass of,non-annotated data,0.09090909090909091
329,World Wide Web,has part,data,0.09090909090909091
330,data,used by,algorithm,0.09090909090909091
331,Yoshua Bengio,field of work,NLP,0.1
332,n-gram,subclass of,statistical alogrithm,0.1
333,n-gram model,subclass of,statistical alogrithm,0.1
334,n-gram model,instance of,statistical alogrithm,0.1
335,n-gram,instance of,statistical alogrithm,0.1
336,Yoshua Bengio,field of work,Neural NLP,0.1
337,n-gram models,subclass of,statistical alogrithm,0.1
338,n-gram models,instance of,statistical alogrithm,0.1
339,NLP,subclass of,language modelling,0.1
340,Hidden layer,subclass of,multi-layer,0.1
341,Word2vec,developer,Tomáš Mikolov,0.23076923076923078
342,Tomáš Mikolov,educated at,Brno University of Technology,0.23076923076923078
343,Word2vec,creator,Tomáš Mikolov,0.07692307692307693
344,Word2vec,inception,2010,0.07692307692307693
345,Tomáš Mikolov,notable work,Word2vec,0.07692307692307693
346,word2vec,developer,Tomáš Mikolov,0.07692307692307693
347,Word2vec,designed by,Tomáš Mikolov,0.07692307692307693
348,Word2vec,discoverer or inventor,Tomáš Mikolov,0.07692307692307693
349,Word2vec,founded by,Tomáš Mikolov,0.07692307692307693
350,deep neural network,subclass of,machine learning,0.26666666666666666
351,deep neural network,use,machine learning,0.2
352,deep neural network,facet of,machine learning,0.06666666666666667
353,deep neural network,part of,machine learning,0.06666666666666667
354,representation learning,subclass of,machine learning,0.13333333333333333
355,hidden layers,facet of,machine learning,0.13333333333333333
356,deep neural network,studied by,machine learning,0.06666666666666667
357,hidden layers,part of,deep neural network,0.06666666666666667
358,parsing,facet of,natural language,0.09090909090909091
359,parsing,uses,natural language,0.09090909090909091
360,parsing,studies,natural language,0.18181818181818182
361,natural language,studied by,parsing,0.18181818181818182
362,parsing,part of,natural language,0.09090909090909091
363,language modeling,facet of,natural language,0.09090909090909091
364,parsing,use,natural language,0.09090909090909091
365,parsing,subclass of,natural language tasks,0.09090909090909091
366,language modeling,studies,natural language,0.09090909090909091
367,healthcare,facet of,medicine,0.21428571428571427
368,medicine,facet of,healthcare,0.14285714285714285
369,medicine,part of,healthcare,0.21428571428571427
370,healthcare,has part,medicine,0.07142857142857142
371,medicine,has part,healthcare,0.14285714285714285
372,healthcare,part of,medicine,0.07142857142857142
373,healthcare,subclass of,medicine,0.07142857142857142
374,medicine,use,healthcare,0.07142857142857142
375,stemming,subclass of,symbolic methods,0.1
376,stemming,subclass of,language-processing,0.1
377,stemming,part of,symbolic methods,0.1
378,stemming,part of,language-processing,0.1
379,stemming,instance of,symbolic methods,0.1
380,stemming,part of,statistics,0.1
381,stemming,subclass of,symbolic method,0.1
382,stemming,instance of,language-processing,0.1
383,stemming,subclass of,heuristic,0.1
384,stemming,instance of,heuristic,0.1
385,machine-learning,subclass of,algorithms,0.07142857142857142
386,machine-learning,subclass of,algorithm,0.07142857142857142
387,machine-learning algorithms,part of,machine learning,0.07142857142857142
388,machine learning,has part,machine-learning algorithms,0.07142857142857142
389,machine-learning algorithms,use,machine learning,0.14285714285714285
390,algorithm,use,machine learning,0.07142857142857142
391,machine-learning algorithm,use,machine learning,0.14285714285714285
392,machine learning,uses,machine-learning algorithm,0.07142857142857142
393,algorithms,use,machine learning,0.07142857142857142
394,machine learning,uses,machine-learning algorithms,0.07142857142857142
395,machine-learning algorithm,part of,machine learning,0.07142857142857142
396,machine learning,has part,machine-learning algorithm,0.07142857142857142
397,statistical inference,subclass of,algorithms,0.1
398,statistical inference,subclass of,algorithm,0.1
399,robust,subclass of,models,0.1
400,Automatic learning,subclass of,statistical inference,0.2
401,Automatic learning,use,statistical inference,0.1
402,statistical inference,subclass of,Automatic learning,0.1
403,Automatic learning,subclass of,statistical inference algorithm,0.1
404,Automatic learning,uses,statistical inference,0.1
405,Automatic learning,has part,statistical inference,0.1
406,structures,has part,words,0.16666666666666666
407,structures,subclass of,words,0.08333333333333333
408,structures,different from,words,0.16666666666666666
409,structures,has part,word,0.08333333333333333
410,words,subclass of,structures,0.08333333333333333
411,words,different from,structures,0.08333333333333333
412,words,part of,structures,0.16666666666666666
413,word,subclass of,structures,0.08333333333333333
414,words,has part,structures,0.08333333333333333
415,accidentally omitted,subclass of,misspelled,0.08333333333333333
416,misspelled,has effect,accidentally omitted,0.16666666666666666
417,accidentally omitted,instance of,misspelled,0.08333333333333333
418,misspelled,has cause,accidentally omitted,0.16666666666666666
419,accidentally omitted,has effect,misspelled,0.16666666666666666
420,accidentally omitted,subclass of,misspelled words,0.08333333333333333
421,accidentally omitted,has cause,misspelled,0.08333333333333333
422,misspelled,subclass of,accidentally omitted,0.08333333333333333
423,accidentally omitted,subclass of,misspelled word,0.08333333333333333
424,error-prone,subclass of,time-consuming,0.09090909090909091
425,error-prone,facet of,time-consuming,0.09090909090909091
426,error-prone,has effect,time-consuming,0.18181818181818182
427,errors,has effect,time-consuming,0.09090909090909091
428,soft decisions,subclass of,handwritten rules,0.09090909090909091
429,error-prone,instance of,time-consuming,0.09090909090909091
430,errors,facet of,time-consuming,0.09090909090909091
431,soft decision,subclass of,decision,0.09090909090909091
432,time-consuming,has cause,error-prone,0.09090909090909091
433,error-prone,subclass of,difficult,0.09090909090909091
434,automatically learning,subclass of,System,0.1
435,learning,subclass of,automatically,0.1
436,automatically learning,subclass of,Systems,0.1
437,Learning,subclass of,automatically,0.1
438,automatically learning,part of,System,0.1
439,learning,part of,System,0.1
440,automatically learning,subclass of,systems,0.1
441,automatically learning,facet of,System,0.1
442,learning,subclass of,Systems,0.1
443,learning,subclass of,System,0.1
444,complexity,has effect,accuracy,0.1
445,complexity,subclass of,accuracy,0.1
446,complexity,opposite of,accuracy,0.1
447,complexity of the rules,has effect,accuracy,0.1
448,complexity,has effect,error,0.1
449,complexity,different from,accuracy,0.1
450,complexity,subclass of,error,0.1
451,complexity of the rules,subclass of,accuracy,0.1
452,complexity,has part,accuracy,0.1
453,handwritten rules,subclass of,complexity of the rules,0.1
454,unmanageable,subclass of,complexity,0.1
455,handwritten rules,subclass of,complexity,0.1
456,limit,subclass of,complexity,0.1
457,limit,facet of,complexity,0.1
458,handwritten rules,instance of,complexity,0.1
459,limit,subclass of,unmanageable,0.1
460,complexity,subclass of,unmanageable,0.1
461,handwritten rules,has effect,complexity,0.1
462,handwritten rules,facet of,complexity,0.1
463,limit,facet of,unmanageable,0.1
464,Apertium,use,machine translation,0.18181818181818182
465,Apertium system,use,machine translation,0.09090909090909091
466,Apertium,instance of,machine translation,0.09090909090909091
467,machine translation,subclass of,machine learning,0.18181818181818182
468,Apertium system,instance of,machine translation,0.09090909090909091
469,machine translation,facet of,machine learning,0.09090909090909091
470,machine translation,studied by,machine learning,0.09090909090909091
471,machine translation,part of,machine learning,0.09090909090909091
472,machine translation,subclass of,machine-learning,0.09090909090909091
473,machine learning,part of,Statistical methods,0.15384615384615385
474,Statistical methods,facet of,machine learning,0.07692307692307693
475,machine learning,subclass of,Statistical methods,0.07692307692307693
476,Statistical methods,subclass of,machine learning,0.07692307692307693
477,Statistical methods,part of,machine learning,0.07692307692307693
478,natural language processing,has part,machine learning,0.15384615384615385
479,natural language processing,subclass of,machine learning,0.07692307692307693
480,machine learning,part of,natural language processing,0.07692307692307693
481,Statistical methods,has part,machine learning,0.07692307692307693
482,Statistical methods,used by,machine learning,0.07692307692307693
483,machine learning,uses,Statistical methods,0.07692307692307693
484,large corpora,subclass of,corpus,0.08333333333333333
485,machine-learning,has part,statistical inference,0.16666666666666666
486,statistical inference,part of,machine-learning,0.16666666666666666
487,statistical inference,subclass of,machine-learning,0.08333333333333333
488,machine-learning paradigm,has part,statistical inference,0.16666666666666666
489,statistical inference,part of,machine-learning paradigm,0.16666666666666666
490,large corpus,subclass of,corpus,0.08333333333333333
491,large corpora,instance of,corpus,0.08333333333333333
492,machine-learning,subclass of,algorithm,0.08333333333333333
493,machine-learning,subclass of,algorithms,0.08333333333333333
494,machine-learning,use,natural-language-processing,0.16666666666666666
495,natural-language-processing,has part,machine-learning,0.16666666666666666
496,natural-language-processing,uses,machine-learning,0.16666666666666666
497,machine-learning,part of,natural-language-processing,0.16666666666666666
498,natural-language-processing,subclass of,machine-learning,0.08333333333333333
499,machine-learning algorithms,use,natural-language-processing,0.08333333333333333
500,features,part of,algorithm,0.1
501,features,facet of,algorithm,0.1
502,feature,part of,algorithm,0.1
503,features,subclass of,algorithm,0.1
504,feature,subclass of,algorithm,0.1
505,input data,part of,algorithm,0.1
506,features,part of,algorithms,0.1
507,features,subclass of,algorithms,0.1
508,input data,facet of,algorithm,0.1
509,"""features""",part of,algorithm,0.1
510,complex-valued embedding,subclass of,neural network,0.1
511,neural network,subclass of,statistical model,0.1
512,embedding,part of,neural network,0.1
513,complex-valued embedding,subclass of,neural networks,0.1
514,embedding,subclass of,neural network,0.1
515,complex-valued embedding,subclass of,statistical model,0.1
516,embedding,facet of,neural network,0.1
517,complex-valued embedding,facet of,neural network,0.1
518,complex-valued embedding,instance of,statistical model,0.1
519,neural network,uses,complex-valued embedding,0.1
520,speech,subclass of,speech,0.07692307692307693
521,speech,subclass of,language,0.07692307692307693
522,speech,part of,speech,0.07692307692307693
523,speech,facet of,speech,0.07692307692307693
524,Speech,subclass of,speech,0.07692307692307693
525,Shakespeare,notable work,Hamlet,0.07692307692307693
526,Hamlet,author,Shakespeare,0.07692307692307693
527,William Shakespeare,notable work,Cymbeline,0.07692307692307693
528,Cymbeline,author,William Shakespeare,0.07692307692307693
529,Shakespeare,notable work,Cymbeline,0.07692307692307693
530,Cymbeline,author,Shakespeare,0.07692307692307693
531,speech,has part,language,0.07692307692307693
532,speech,has part,speech,0.07692307692307693
533,relative certainty,subclass of,certainty,0.09090909090909091
534,relative certainty,subclass of,uncertainty,0.09090909090909091
535,relative certainty,instance of,certainty,0.09090909090909091
536,relative certainty,different from,only one,0.18181818181818182
537,only one,different from,relative certainty,0.09090909090909091
538,relative certainty,subclass of,confidence,0.09090909090909091
539,relative certainty,subclass of,probability,0.09090909090909091
540,relative certainty,facet of,certainty,0.09090909090909091
541,certainty,subclass of,relative,0.09090909090909091
542,many different possible answers,subclass of,certainty,0.09090909090909091
543,decision tree,facet of,machine learning,0.09090909090909091
544,decision tree,part of,machine learning,0.09090909090909091
545,algorithm,part of,machine learning,0.09090909090909091
546,decision tree,use,machine learning,0.09090909090909091
547,decision tree,studied by,machine learning,0.09090909090909091
548,decision tree,subclass of,algorithm,0.09090909090909091
549,decision tree,subclass of,machine learning,0.09090909090909091
550,algorithm,use,machine learning,0.09090909090909091
551,decision tree,instance of,algorithm,0.09090909090909091
552,machine learning,subclass of,algorithm,0.09090909090909091
553,algorithm,has part,machine learning,0.09090909090909091
554,hidden Markov model,instance of,statistical model,0.09090909090909091
555,hidden Markov model,subclass of,statistical model,0.09090909090909091
556,hidden Markov model,use,natural language processing,0.09090909090909091
557,Markov model,instance of,statistical model,0.09090909090909091
558,Markov model,subclass of,statistical model,0.09090909090909091
559,hidden Markov model,facet of,natural language processing,0.09090909090909091
560,hidden Markov models,subclass of,statistical model,0.09090909090909091
561,hidden Markov models,instance of,statistical model,0.09090909090909091
562,natural language processing,studies,features,0.09090909090909091
563,features,studied by,natural language processing,0.09090909090909091
564,hidden Markov model,subclass of,statistical models,0.09090909090909091
565,cache language,use,speech recognition,0.1
566,cache language,facet of,speech recognition,0.1
567,cache language models,use,speech recognition,0.1
568,cache language model,use,speech recognition,0.1
569,cache language,part of,speech recognition,0.1
570,cache language,subclass of,speech recognition,0.1
571,cache language,used by,speech recognition,0.1
572,cache language model,facet of,speech recognition,0.1
573,cache language models,facet of,speech recognition,0.1
574,cache language,use,speech recognition systems,0.1
575,errors,facet of,real-world data,0.1
576,errors,subclass of,input,0.1
577,errors,subclass of,real-world data,0.1
578,errors,part of,real-world data,0.1
579,errors,subclass of,data,0.1
580,error,facet of,real-world data,0.1
581,errors,has cause,input,0.1
582,subtasks,part of,system,0.1
583,error,subclass of,input,0.1
584,errors,has effect,real-world data,0.1
585,neural networks,subclass of,statistical methods,0.1
586,neural networks,facet of,neural turn,0.1
587,neural networks,use,NLP,0.1
