,sentence,all_sents,extractions,augmented_exts,ctime,etime
10,1 अक्टूबर 1953 को आंध्र ने कर्नूल को अपनी राजधानी के साथ राज्य का दर्जा पाया .,['1 अक्टूबर 1953 को आंध्र ने कर्नूल को अपनी राजधानी के साथ राज्य का दर्जा पाया .'],"[[['आंध्र ने', 'पाया', 'कर्नूल को'], ['दर्जा', 'पाया', '1 अक्टूबर 1953 को'], ['दर्जा', 'property', 'राज्य का']]]",[[]],[0.071],[0.0]
11,1 अक्टूबर 2008 को न्यूजीलैंड और ऑस्ट्रेलिया में दूसरा सीज़न ज़ारी किया गया .,['1 अक्टूबर 2008 को न्यूजीलैंड और ऑस्ट्रेलिया में दूसरा सीज़न ज़ारी किया गया .'],"[[['दूसरा सीज़न', 'ज़ारी किया गया', '1 अक्टूबर 2008 को'], ['न्यूजीलैंड', 'ज़ारी किया गया', '1 अक्टूबर 2008 को'], ['ऑस्ट्रेलिया में', 'ज़ारी किया गया', '1 अक्टूबर 2008 को']]]","[[['दूसरा सीज़न', 'ज़ारी किया गया 1 अक्टूबर 2008 को', 'न्यूजीलैंड'], ['दूसरा सीज़न', 'ज़ारी किया गया 1 अक्टूबर 2008 को', 'ऑस्ट्रेलिया में'], ['न्यूजीलैंड', 'ज़ारी किया गया 1 अक्टूबर 2008 को', 'ऑस्ट्रेलिया में']]]",[0.069],[0.0]
12,"1 अक्टूबर को , रॉबर्ट आइगर ने सीईओ के रूप में माइकल आइजनर का स्थान लिया .","['1 अक्टूबर को , रॉबर्ट आइगर ने सीईओ के रूप में माइकल आइजनर का स्थान लिया .']","[[['रॉबर्ट आइगर ने', 'लिया', 'स्थान'], ['1 अक्टूबर को ,', 'लिया', 'रॉबर्ट आइगर ने'], ['स्थान', 'property', 'माइकल आइजनर का']]]","[[['स्थान', 'रॉबर्ट आइगर ने लिया', '1 अक्टूबर को ,']]]",[0.065],[0.0]
13,"1 अक्टूबर , 1960 को यह देश इंग्लैंड के शासन से आजाद हुआ .","['1 अक्टूबर , 1960 को यह देश इंग्लैंड के शासन से आजाद हुआ .']","[[['यह देश', 'आजाद हुआ', '1 अक्टूबर , 1960 को'], ['शासन से', 'आजाद हुआ', 'इंग्लैंड के']]]",[[]],[0.065],[0.0]
14,1 अगस्त 1915 में चन्द्रसिंह को अन्य गढ़वाली सैनिकों के साथ अंग्रेजों द्वारा फ्रांस भेज दिया गया .,['1 अगस्त 1915 में चन्द्रसिंह को अन्य गढ़वाली सैनिकों के साथ अंग्रेजों द्वारा फ्रांस भेज दिया गया .'],"[[['अंग्रेजों द्वारा', 'भेज दिया गया', 'चन्द्रसिंह को'], ['1 अगस्त 1915 में', 'भेज दिया गया', 'अन्य गढ़वाली सैनिकों के साथ'], ['फ्रांस', 'भेज दिया गया', 'अन्य गढ़वाली सैनिकों के साथ']]]","[[['1 अगस्त 1915 में', 'भेज दिया गया अन्य गढ़वाली सैनिकों के साथ', 'फ्रांस']]]",[0.067],[0.0]
15,1 अप्रैल 1946 को इसे स्वायत्तशासी प्रान्त घोषित किया गया और गोविन्द बल्लभ पन्त इसके पहले मुख्य मन्त्री बने .,['1 अप्रैल 1946 को इसे स्वायत्तशासी प्रान्त घोषित किया गया और गोविन्द बल्लभ पन्त इसके पहले मुख्य मन्त्री बने .'],"[[['इसे', 'घोषित किया गया', '1 अप्रैल 1946 को'], ['गोविन्द बल्लभ पन्त', 'बने', 'मुख्य मन्त्री'], ['इसके पहले', 'बने', 'घोषित किया गया']]]",[[]],[0.069],[0.0]
16,हिन्दी प्रचार सभा एक आन्दोलन थी जो भारत के स्वतन्त्रता आन्दोलन के साथ ही आरम्भ हुई .,['हिन्दी प्रचार सभा एक आन्दोलन थी जो भारत के स्वतन्त्रता आन्दोलन के साथ ही आरम्भ हुई .'],"[[['हिन्दी प्रचार सभा', 'एक आन्दोलन थी', 'जो आरम्भ हुई'], ['एक आन्दोलन', 'आरम्भ हुई', 'स्वतन्त्रता आन्दोलन के साथ ही'], ['स्वतन्त्रता आन्दोलन के साथ ही', 'property', 'भारत के']]]",[[]],[0.07],[0.0]
17,बाल्यकाल से ही कर्मा के चेहरे पर एक अनूठी आभा दिखाई पड़ती थी .,['बाल्यकाल से ही कर्मा के चेहरे पर एक अनूठी आभा दिखाई पड़ती थी .'],"[[['एक अनूठी आभा', 'दिखाई पड़ती थी', 'बाल्यकाल से ही'], ['चेहरे पर', 'दिखाई पड़ती थी', 'कर्मा के']]]",[[]],[0.069],[0.0]
18,"तब से अब तक , सोनू भारतीय संगीत जगत में एक प्रमुख हस्ती बन चुके हैं .","['तब से अब तक , सोनू भारतीय संगीत जगत में एक प्रमुख हस्ती बन चुके हैं .']","[[['सोनू', 'बन चुके हैं', 'एक प्रमुख हस्ती'], ['तब से', 'बन चुके हैं', 'अब तक ,'], ['भारतीय संगीत जगत में', 'बन चुके हैं', 'अब तक ,']]]","[[['तब से', 'बन चुके हैं अब तक ,', 'भारतीय संगीत जगत में']]]",[0.072],[0.0]
19,कोप्पेन मौसम वर्गीकरण मौसम आकलन के लिए प्रयोग किया जाने वाला सबसे अधिक प्रयोगनीय मौसम वर्गीकरण है .,['कोप्पेन मौसम वर्गीकरण मौसम आकलन के लिए प्रयोग किया जाने वाला सबसे अधिक प्रयोगनीय मौसम वर्गीकरण है .'],[[]],[[]],[0],[0]
20,बर्लिन पर क़ब्ज़ा करने के बाद सोवियत दस्तों ने चेकोस्लोवाकिया की राजधानी प्राग को आज़ाद कराया .,['बर्लिन पर क़ब्ज़ा करने के बाद सोवियत दस्तों ने चेकोस्लोवाकिया की राजधानी प्राग को आज़ाद कराया .'],"[[['सोवियत दस्तों ने', 'आज़ाद कराया', 'प्राग को'], ['क़ब्ज़ा करने के बाद', 'आज़ाद कराया', 'बर्लिन पर'], ['प्राग को', 'property', 'राजधानी'], ['राजधानी', 'property', 'चेकोस्लोवाकिया की']]]","[[['प्राग को', 'property राजधानी', 'चेकोस्लोवाकिया की']]]",[0.068],[0.001]
21,योग एवं शिक्षा के क्षेत्र में राष्ट्रपति से पद्म श्री सम्मान प्राप्त करने वाले वे प्रथम भारतीय हैं .,['योग एवं शिक्षा के क्षेत्र में राष्ट्रपति से पद्म श्री सम्मान प्राप्त करने वाले वे प्रथम भारतीय हैं .'],"[[['वे', 'प्रथम भारतीय हैं', 'क्षेत्र में'], ['पद्म श्री सम्मान', 'प्राप्त करने वाले', 'राष्ट्रपति से']]]",[[]],[0.074],[0.0]
22,सभी बच्चों को स्कूल की पढ़ाई पूरी करने तक वित्तीय सहायता भी दी जाती है .,['सभी बच्चों को स्कूल की पढ़ाई पूरी करने तक वित्तीय सहायता भी दी जाती है .'],"[[['वित्तीय सहायता भी', 'दी जाती है', 'पूरी करने तक'], ['सभी बच्चों को', 'पूरी करने तक', 'दी जाती है'], ['पूरी करने तक दी जाती है', 'पढ़ाई', 'स्कूल की']]]",[[]],[0.075],[0.0]
23,आज भी यह स्थान क्षेत्र के लोगों के लिए दर्शनीय केन्द्र है .,['आज भी यह स्थान क्षेत्र के लोगों के लिए दर्शनीय केन्द्र है .'],"[[['यह स्थान', 'दर्शनीय केन्द्र है', 'आज भी'], ['दर्शनीय केन्द्र', 'property', 'लोगों के लिए']]]",[[]],[0.069],[0.0]
24,इस सम्बन्ध में पाणिनीय व्याकरण ही वेदाङ्ग का प्रतिनिधित्व करता है .,['इस सम्बन्ध में पाणिनीय व्याकरण ही वेदाङ्ग का प्रतिनिधित्व करता है .'],"[[['पाणिनीय व्याकरण ही', 'प्रतिनिधित्व करता है', 'इस सम्बन्ध में'], ['वेदाङ्ग का', 'प्रतिनिधित्व करता है', 'पाणिनीय व्याकरण ही']]]","[[['इस सम्बन्ध में', 'पाणिनीय व्याकरण ही प्रतिनिधित्व करता है', 'वेदाङ्ग का']]]",[0.076],[0.0]
25,मैं शब्द की आत्मा समझकर ही इस श्रेष्ठ तत्त्व की उपासना करता हूं .,['मैं शब्द की आत्मा समझकर ही इस श्रेष्ठ तत्त्व की उपासना करता हूं .'],"[[['मैं', 'उपासना करता हूं', 'इस श्रेष्ठ तत्त्व की'], ['इस श्रेष्ठ तत्त्व की उपासना करता हूं', 'समझकर ही', 'आत्मा'], ['आत्मा', 'property', 'शब्द की']]]",[[]],[0.076],[0.0]
26,हिमाचल प्रदेश में बहने वाली पांच नदियों में से चार का उल्लेख ऋग्वेद में मिलता है .,['हिमाचल प्रदेश में बहने वाली पांच नदियों में से चार का उल्लेख ऋग्वेद में मिलता है .'],"[[['उल्लेख', 'मिलता है', 'पांच नदियों में से'], ['ऋग्वेद में', 'मिलता है', 'उल्लेख'], ['हिमाचल प्रदेश में', 'बहने वाली', 'पांच नदियों में से'], ['उल्लेख', 'property', 'चार का']]]","[[['पांच नदियों में से', 'उल्लेख मिलता है', 'ऋग्वेद में']]]",[0.067],[0.001]
27,उन्होंने बच्चे को देने से स्पष्ट इंकार कर दिया .,['उन्होंने बच्चे को देने से स्पष्ट इंकार कर दिया .'],"[[['उन्होंने', 'स्पष्ट इंकार कर दिया', 'बच्चे को देने से']]]",[[]],[0.069],[0.0]
28,शिक्षा का तुलनात्मक अध्ययन सभी सामाजिक विज्ञानों से जुड़ा है .,['शिक्षा का तुलनात्मक अध्ययन सभी सामाजिक विज्ञानों से जुड़ा है .'],"[[['तुलनात्मक अध्ययन', 'जुड़ा है', 'सभी सामाजिक विज्ञानों से'], ['तुलनात्मक अध्ययन', 'property', 'शिक्षा का']]]",[[]],[0.074],[0.0]
29,गुजरात क्वीन एक्स्प्रेस 9110 भारतीय रेल द्वारा संचालित एक मेल एक्स्प्रेस ट्रेन है .,['गुजरात क्वीन एक्स्प्रेस 9110 भारतीय रेल द्वारा संचालित एक मेल एक्स्प्रेस ट्रेन है .'],"[[['9110', 'भारतीय रेल द्वारा', 'संचालित']]]",[[]],[0.07],[0.0]
30,वर्तमान में यह शहर पश्चिम बंगाल का प्रमुख हिल स्टेशन है .,['वर्तमान में यह शहर पश्चिम बंगाल का प्रमुख हिल स्टेशन है .'],"[[['यह शहर', 'प्रमुख हिल स्टेशन है', 'वर्तमान में'], ['प्रमुख हिल स्टेशन', 'property', 'पश्चिम बंगाल का']]]",[[]],[0.07],[0.0]
31,"सिलकोट , गंगोलीहाट तहसील में भारत के उत्तराखण्ड राज्य के अन्तर्गत कुमाऊँ मण्डल के पिथोरागढ जिले का एक गाँव है .","['सिलकोट , गंगोलीहाट तहसील में भारत के उत्तराखण्ड राज्य के अन्तर्गत कुमाऊँ मण्डल के पिथोरागढ जिले का एक गाँव है .']","[[['सिलकोट ,', 'एक गाँव है', 'गंगोलीहाट तहसील में'], ['एक गाँव', 'property', 'उत्तराखण्ड राज्य के अन्तर्गत'], ['एक गाँव', 'property', 'पिथोरागढ जिले का'], ['उत्तराखण्ड राज्य के अन्तर्गत', 'property', 'भारत के'], ['पिथोरागढ जिले का', 'property', 'कुमाऊँ मण्डल के']]]","[[['उत्तराखण्ड राज्य के अन्तर्गत', 'एक गाँव property', 'पिथोरागढ जिले का'], ['एक गाँव', 'property उत्तराखण्ड राज्य के अन्तर्गत', 'भारत के'], ['एक गाँव', 'property पिथोरागढ जिले का', 'कुमाऊँ मण्डल के']]]",[0.069],[0.001]
32,एयर लाइन के तकनीकी केंद्र को तिरुवनंतपुरम में स्थानापन्न करना है .,['एयर लाइन के तकनीकी केंद्र को तिरुवनंतपुरम में स्थानापन्न करना है .'],"[[['तकनीकी केंद्र को', 'स्थानापन्न करना है', 'तिरुवनंतपुरम में'], ['तकनीकी केंद्र को', 'property', 'एयर लाइन के']]]",[[]],[0.07],[0.0]
33,चीफ कोर्ट के मुख्य न्यायाधीश सर लुइस शर्ट और विशेष न्यायाधीश मोहम्मद रजा के सामने दोनों मामले पेश हुए .,['चीफ कोर्ट के मुख्य न्यायाधीश सर लुइस शर्ट और विशेष न्यायाधीश मोहम्मद रजा के सामने दोनों मामले पेश हुए .'],"[[['दोनों मामले', 'पेश हुए', 'सर लुइस शर्ट'], ['सर लुइस शर्ट', 'property', 'मुख्य न्यायाधीश'], ['विशेष न्यायाधीश मोहम्मद रजा के सामने', 'property', 'मुख्य न्यायाधीश']]]","[[['सर लुइस शर्ट', 'property मुख्य न्यायाधीश', 'विशेष न्यायाधीश मोहम्मद रजा के सामने']]]",[0.069],[0.0]
34,किसी बीमारी की वजह से बाशो की मृत्यु 28 नवम्बर 1694 को हो गई .,['किसी बीमारी की वजह से बाशो की मृत्यु 28 नवम्बर 1694 को हो गई .'],"[[['मृत्यु', 'हो गई', 'किसी बीमारी की वजह से'], ['28 नवम्बर 1694 को', 'हो गई', 'मृत्यु'], ['मृत्यु', 'property', 'बाशो की']]]","[[['किसी बीमारी की वजह से', 'मृत्यु हो गई', '28 नवम्बर 1694 को']]]",[0.066],[0.0]
35,जब कोई मतैक्य नहीं हुआ तो विक्रम ने एक हल सोचा .,['जब कोई मतैक्य नहीं हुआ तो विक्रम ने एक हल सोचा .'],"[[['विक्रम ने', 'सोचा', 'एक हल'], ['तो', 'नहीं हुआ', 'कोई मतैक्य']]]",[[]],[0.066],[0.0]
36,सन 1696 में एक बार फिर शाही सेना से पंचायती सेना का मुकाबला हुआ .,['सन 1696 में एक बार फिर शाही सेना से पंचायती सेना का मुकाबला हुआ .'],"[[['सन 1696 में', 'मुकाबला हुआ फिर', 'एक बार'], ['शाही सेना से', 'मुकाबला हुआ फिर', 'पंचायती सेना का']]]",[[]],[0.069],[0.0]
37,"मर्लगोंड , कुभीर मण्डल में भारत के आन्ध्रप्रदेश राज्य के अन्तर्गत के अदिलाबादु जिले का एक गाँव है .","['मर्लगोंड , कुभीर मण्डल में भारत के आन्ध्रप्रदेश राज्य के अन्तर्गत के अदिलाबादु जिले का एक गाँव है .']","[[['मर्लगोंड ,', 'एक गाँव है', 'कुभीर मण्डल में'], ['एक गाँव', 'property', 'अदिलाबादु जिले का'], ['अदिलाबादु जिले का', 'property', 'आन्ध्रप्रदेश राज्य के अन्तर्गत के'], ['आन्ध्रप्रदेश राज्य के अन्तर्गत के', 'property', 'भारत के']]]","[[['एक गाँव', 'property अदिलाबादु जिले का', 'आन्ध्रप्रदेश राज्य के अन्तर्गत के'], ['अदिलाबादु जिले का', 'property आन्ध्रप्रदेश राज्य के अन्तर्गत के', 'भारत के']]]",[0.079],[0.001]
38,बाद में व्याकरण के दर्शन पक्ष पर अनेक ग्रन्थ लिखे गये .,['बाद में व्याकरण के दर्शन पक्ष पर अनेक ग्रन्थ लिखे गये .'],"[[['अनेक ग्रन्थ', 'लिखे गये', 'बाद में'], ['दर्शन पक्ष पर', 'लिखे गये', 'व्याकरण के']]]",[[]],[0.076],[0.0]
39,1975 में इलाहाबाद में नवनिर्मित मेहता अनुसंधान संस्थान में निदेशक बने .,['1975 में इलाहाबाद में नवनिर्मित मेहता अनुसंधान संस्थान में निदेशक बने .'],"[[['निदेशक', 'बने', '1975 में'], ['इलाहाबाद में', 'बने', 'नवनिर्मित मेहता अनुसंधान संस्थान में']]]",[[]],[0.067],[0.0]
40,उनके नाम पर इस जगह का नाम रुस्तम खान रखा गया .,['उनके नाम पर इस जगह का नाम रुस्तम खान रखा गया .'],"[[['नाम', 'रखा गया', 'नाम पर'], ['नाम पर', 'property', 'उनके'], ['नाम', 'property', 'इस जगह का']]]",[[]],[0.08],[0.0]
41,कुछ लोग इस आपाधापी से दूर अपने घर पर ही रहना पसंद करते हैं .,['कुछ लोग इस आपाधापी से दूर अपने घर पर ही रहना पसंद करते हैं .'],"[[['कुछ लोग', 'पसंद करते हैं', 'रहना'], ['इस आपाधापी से दूर', 'रहना', 'घर पर ही'], ['घर पर ही', 'property', 'अपने']]]",[[]],[0.067],[0.0]
42,मार्च 2001 में एक बार फिर अमरीका के अट्ठाइसवें रक्षा सचिव के रूप में उनकी वापसी हुई .,['मार्च 2001 में एक बार फिर अमरीका के अट्ठाइसवें रक्षा सचिव के रूप में उनकी वापसी हुई .'],"[[['मार्च 2001 में', 'वापसी हुई फिर', 'एक बार'], ['अट्ठाइसवें रक्षा सचिव के रूप में', 'वापसी हुई फिर', 'उनकी'], ['अट्ठाइसवें रक्षा सचिव के रूप में', 'property', 'अमरीका के']]]",[[]],[0.066],[0.0]
43,इसकी रचना की आधारशिला 3 मार्च 1884 को सर वाईकर के द्वारा रखी गयी थी .,['इसकी रचना की आधारशिला 3 मार्च 1884 को सर वाईकर के द्वारा रखी गयी थी .'],"[[['सर वाईकर के द्वारा', 'आधारशिला रखी गयी थी', '3 मार्च 1884 को'], ['इसकी रचना की', 'आधारशिला रखी गयी थी', '3 मार्च 1884 को']]]","[[['सर वाईकर के द्वारा', 'आधारशिला रखी गयी थी 3 मार्च 1884 को', 'इसकी रचना की']]]",[0.07],[0.0]
44,इस तकनीक के लिए वह विभिन्न टेलीविजन कंपनियों से संपर्क में है .,['इस तकनीक के लिए वह विभिन्न टेलीविजन कंपनियों से संपर्क में है .'],"[[['वह', 'संपर्क में है', 'इस तकनीक के लिए'], ['संपर्क में', 'property', 'विभिन्न टेलीविजन कंपनियों से']]]",[[]],[0.079],[0.0]
45,त्रिदेवनाथ बैनर्जी को चिकित्सा विज्ञान के क्षेत्र में सन 1961 में पद्म भूषण से सम्मानित किया गया था .,['त्रिदेवनाथ बैनर्जी को चिकित्सा विज्ञान के क्षेत्र में सन 1961 में पद्म भूषण से सम्मानित किया गया था .'],"[[['त्रिदेवनाथ बैनर्जी को', 'सम्मानित किया गया था', 'क्षेत्र में'], ['सन 1961 में', 'सम्मानित किया गया था', 'पद्म भूषण से'], ['क्षेत्र में', 'property', 'चिकित्सा विज्ञान के']]]",[[]],[0.077],[0.0]
46,मराठी के अतिरिक्त उन्होने हिन्दी फिल्मों के लिए भी संगीत रचना की .,['मराठी के अतिरिक्त उन्होने हिन्दी फिल्मों के लिए भी संगीत रचना की .'],"[[['उन्होने', 'संगीत रचना की', 'मराठी के अतिरिक्त'], ['हिन्दी फिल्मों के लिए भी', 'संगीत रचना की', 'उन्होने']]]","[[['मराठी के अतिरिक्त', 'उन्होने संगीत रचना की', 'हिन्दी फिल्मों के लिए भी']]]",[0.068],[0.0]
47,काइटिन का औद्योगिक रूप से अनेक प्रक्रियाओं में उपयोग किया जाता है .,['काइटिन का औद्योगिक रूप से अनेक प्रक्रियाओं में उपयोग किया जाता है .'],"[[['औद्योगिक रूप से', 'उपयोग किया जाता है', 'अनेक प्रक्रियाओं में'], ['औद्योगिक रूप से', 'property', 'काइटिन का']]]",[[]],[0.067],[0.0]
48,हिंदूओं और मुस्लिमों के सभी पर्व मिलजुल कर मनाए जाते हैं .,['हिंदूओं और मुस्लिमों के सभी पर्व मिलजुल कर मनाए जाते हैं .'],"[[['सभी पर्व', 'property', 'हिंदूओं'], ['सभी पर्व', 'property', 'मुस्लिमों के']]]","[[['हिंदूओं', 'सभी पर्व property', 'मुस्लिमों के']]]",[0.065],[0.0]
49,"द डार्क नाईट राइसेस को अमेरिका , संयुक्त राजशाही व कनाडा में 20 जुलाई 2012 को रिलीज़ किया गया .","['द डार्क नाईट राइसेस को अमेरिका , संयुक्त राजशाही व कनाडा में 20 जुलाई 2012 को रिलीज़ किया गया .']","[[['द डार्क नाईट राइसेस को', 'रिलीज़ किया गया', 'अमेरिका ,'], ['20 जुलाई 2012 को', 'रिलीज़ किया गया', 'अमेरिका ,'], ['20 जुलाई 2012 को', 'रिलीज़ किया गया', 'संयुक्त राजशाही'], ['20 जुलाई 2012 को', 'रिलीज़ किया गया', 'कनाडा में']]]","[[['द डार्क नाईट राइसेस को', 'रिलीज़ किया गया अमेरिका ,', '20 जुलाई 2012 को'], ['अमेरिका ,', '20 जुलाई 2012 को रिलीज़ किया गया', 'संयुक्त राजशाही'], ['अमेरिका ,', '20 जुलाई 2012 को रिलीज़ किया गया', 'कनाडा में'], ['संयुक्त राजशाही', '20 जुलाई 2012 को रिलीज़ किया गया', 'कनाडा में']]]",[0.072],[0.001]
50,यह हर साल जर्मनी के फ्रैंकफर्ट शहर मे लगाया जाता है .,['यह हर साल जर्मनी के फ्रैंकफर्ट शहर मे लगाया जाता है .'],"[[['यह', 'लगाया जाता है', 'हर साल'], ['फ्रैंकफर्ट शहर मे', 'लगाया जाता है', 'जर्मनी के']]]",[[]],[0.069],[0.0]
51,द्रौपदी ने आगे बढ़ कर अर्जुन के गले में वरमाला डाल दिया .,['द्रौपदी ने आगे बढ़ कर अर्जुन के गले में वरमाला डाल दिया .'],"[[['द्रौपदी ने', 'वरमाला डाल दिया', 'गले में'], ['गले में', 'property', 'अर्जुन के']]]",[[]],[0.07],[0.0]
52,यह त्यौहार पूरे उत्तर भारत में राम नवमी के दौरान मनाया जाता है .,['यह त्यौहार पूरे उत्तर भारत में राम नवमी के दौरान मनाया जाता है .'],"[[['यह त्यौहार', 'मनाया जाता है', 'पूरे उत्तर भारत में'], ['राम नवमी के दौरान', 'मनाया जाता है', 'पूरे उत्तर भारत में']]]","[[['यह त्यौहार', 'मनाया जाता है पूरे उत्तर भारत में', 'राम नवमी के दौरान']]]",[0.072],[0.0]
53,"तटीय कर्नाटक के भोजन में समुद्री भोजन , नारियल और नारियल तेल का व्यापक उपयोग उल्लेखनीय है .","['तटीय कर्नाटक के भोजन में समुद्री भोजन , नारियल और नारियल तेल का व्यापक उपयोग उल्लेखनीय है .']","[[['व्यापक उपयोग', 'उल्लेखनीय है', 'भोजन में'], ['भोजन में', 'property', 'तटीय कर्नाटक के'], ['व्यापक उपयोग', 'property', 'समुद्री भोजन ,'], ['व्यापक उपयोग', 'property', 'नारियल'], ['व्यापक उपयोग', 'property', 'नारियल तेल का']]]","[[['समुद्री भोजन ,', 'व्यापक उपयोग property', 'नारियल'], ['समुद्री भोजन ,', 'व्यापक उपयोग property', 'नारियल तेल का'], ['नारियल', 'व्यापक उपयोग property', 'नारियल तेल का']]]",[0.074],[0.0]
54,कार्ल ने वहां अध्ययन के साथ ही वहां के उपेक्षित जीवविज्ञान उद्यान को भी सुधारा .,['कार्ल ने वहां अध्ययन के साथ ही वहां के उपेक्षित जीवविज्ञान उद्यान को भी सुधारा .'],"[[['कार्ल ने', 'सुधारा', 'उपेक्षित जीवविज्ञान उद्यान को भी'], ['उपेक्षित जीवविज्ञान उद्यान को भी', 'property', 'वहां के']]]",[[]],[0.069],[0.0]
