1	शक्तिरूपी माया	सििद्ध होती है	कार्यरूप जगत को देखकर ही
17	एक आन्दोलन	आरम्भ हुई	भारत के स्वतन्त्रता आन्दोलन के साथ ही
17	स्वतन्त्रता आन्दोलन के साथ ही	एक आन्दोलन आरम्भ हुई	भारत के स्वतन्त्रता आन्दोलन के साथ ही
18	एक अनूठी आभा	दिखाई पड़ती थी	बाल्यकाल से ही
18	चेहरे	दिखाई पड़ती थी	कर्मा
18	बाल्यकाल से ही	दिखाई पड़ती थी	कर्मा के चेहरे
18	एक अनूठी आभा	दिखाई पड़ती थी बाल्यकाल से ही	कर्मा के चेहरे
19	सोनू	बन चुके हैं	एक प्रमुख हस्ती
19	तब	बन चुके हैं	अब तक ,
19	भारतीय संगीत जगत	बन चुके हैं	अब तक ,
19	सोनू	बन चुके हैं	भारतीय संगीत जगत
19	एक प्रमुख हस्ती	सोनू बन चुके हैं	भारतीय संगीत जगत
19	तब	बन चुके हैं अब तक ,	भारतीय संगीत जगत
19	अब तक ,	भारतीय संगीत जगत बन चुके हैं	सोनू
21	सोवियत दस्तों ने	आज़ाद कराया	प्राग
21	क़ब्ज़ा करने के बाद	आज़ाद कराया	बर्लिन
21	प्राग	property	राजधानी
21	राजधानी	property	चेकोस्लोवाकिया
21	बर्लिन	आज़ाद कराया	सोवियत दस्तों ने
21	सोवियत दस्तों ने	आज़ाद कराया	चेकोस्लोवाकिया की राजधानी प्राग
21	चेकोस्लोवाकिया	राजधानी	प्राग
21	प्राग	सोवियत दस्तों ने आज़ाद कराया	बर्लिन
21	प्राग	सोवियत दस्तों ने आज़ाद कराया	चेकोस्लोवाकिया की राजधानी प्राग
21	क़ब्ज़ा करने के बाद	आज़ाद कराया बर्लिन	सोवियत दस्तों ने
21	प्राग	property राजधानी	चेकोस्लोवाकिया
21	बर्लिन	आज़ाद कराया सोवियत दस्तों ने	चेकोस्लोवाकिया की राजधानी प्राग
22	वे	प्रथम भारतीय हैं	क्षेत्र
22	पद्म श्री सम्मान	प्राप्त करने वाले	राष्ट्रपति
22	योग	में	शिक्षा
22	शिक्षा	क्षेत्र में	योग
22	राष्ट्रपति	प्राप्त करने वाले	पद्म श्री सम्मान
22	वे	is	प्रथम भारतीय
23	वित्तीय सहायता भी	दी जाती है	पूरी करने तक
23	सभी बच्चों	पूरी करने तक	दी जाती है
23	पूरी करने तक दी जाती है	पढ़ाई	स्कूल
23	सभी बच्चों	दी जाती है	वित्तीय सहायता भी
23	पूरी करने तक	वित्तीय सहायता भी दी जाती है	सभी बच्चों
24	यह स्थान	दर्शनीय केन्द्र है	आज भी
24	दर्शनीय केन्द्र	property	लोगों के लिए
24	यह स्थान	is	दर्शनीय केन्द्र
25	पाणिनीय व्याकरण ही	प्रतिनिधित्व करता है	इस सम्बन्ध
25	वेदाङ्ग	प्रतिनिधित्व करता है	पाणिनीय व्याकरण ही
25	पाणिनीय व्याकरण ही	प्रतिनिधित्व करता है	वेदाङ्ग
25	इस सम्बन्ध	पाणिनीय व्याकरण ही प्रतिनिधित्व करता है	वेदाङ्ग
26	मैं	उपासना करता हूं	इस श्रेष्ठ तत्त्व
26	इस श्रेष्ठ तत्त्व की उपासना करता हूं	समझकर ही	आत्मा
26	आत्मा	property	शब्द
26	मैं	करता हूं	उपासना
27	उल्लेख	मिलता है	पांच नदियों में
27	ऋग्वेद	मिलता है	उल्लेख
27	हिमाचल प्रदेश	बहने वाली	पांच नदियों में
27	उल्लेख	property	चार
27	हिमाचल प्रदेश	बहने वाली	पांच नदियों
27	पांच नदियों में	चार का	उल्लेख
27	चार	उल्लेख	ऋग्वेद
27	पांच नदियों में	उल्लेख मिलता है	ऋग्वेद
27	पांच नदियों में	हिमाचल प्रदेश बहने वाली	पांच नदियों
28	उन्होंने	स्पष्ट इंकार कर दिया	बच्चे को देने
28	उन्होंने	इंकार कर दिया	बच्चे
29	तुलनात्मक अध्ययन	जुड़ा है	सभी सामाजिक विज्ञानों
29	तुलनात्मक अध्ययन	property	शिक्षा
29	शिक्षा	जुड़ा है	सभी सामाजिक विज्ञानों
29	तुलनात्मक अध्ययन	जुड़ा है	शिक्षा
29	तुलनात्मक अध्ययन	जुड़ा है सभी सामाजिक विज्ञानों	शिक्षा
30	9110	भारतीय रेल द्वारा	संचालित
30	गुजरात क्वीन एक्स्प्रेस	द्वारा संचालित	भारतीय रेल
31	यह शहर	प्रमुख हिल स्टेशन है	वर्तमान
31	प्रमुख हिल स्टेशन	property	पश्चिम बंगाल
31	यह शहर	is	प्रमुख हिल स्टेशन
32	सिलकोट ,	एक गाँव है	गंगोलीहाट तहसील
32	एक गाँव	property	उत्तराखण्ड राज्य के अन्तर्गत
32	एक गाँव	property	पिथोरागढ जिले
32	उत्तराखण्ड राज्य के अन्तर्गत	property	भारत
32	पिथोरागढ जिले	property	कुमाऊँ मण्डल
32	सिलकोट	is	एक गाँव
32	सिलकोट	में है	गंगोलीहाट तहसील
32	सिलकोट	में है	भारत
32	सिलकोट	में है	उत्तराखण्ड राज्य
32	सिलकोट	में है	कुमाऊँ मण्डल
32	सिलकोट	में है	पिथोरागढ जिले
32	उत्तराखण्ड राज्य के अन्तर्गत	एक गाँव property	पिथोरागढ जिले
32	एक गाँव	property उत्तराखण्ड राज्य के अन्तर्गत	भारत
32	एक गाँव	property पिथोरागढ जिले	कुमाऊँ मण्डल
32	गंगोलीहाट तहसील	सिलकोट में है	भारत
32	गंगोलीहाट तहसील	सिलकोट में है	उत्तराखण्ड राज्य
32	गंगोलीहाट तहसील	सिलकोट में है	कुमाऊँ मण्डल
32	गंगोलीहाट तहसील	सिलकोट में है	पिथोरागढ जिले
32	भारत	सिलकोट में है	उत्तराखण्ड राज्य
32	भारत	सिलकोट में है	कुमाऊँ मण्डल
32	भारत	सिलकोट में है	पिथोरागढ जिले
32	उत्तराखण्ड राज्य	सिलकोट में है	कुमाऊँ मण्डल
32	उत्तराखण्ड राज्य	सिलकोट में है	पिथोरागढ जिले
32	कुमाऊँ मण्डल	सिलकोट में है	पिथोरागढ जिले
33	तकनीकी केंद्र	स्थानापन्न करना है	तिरुवनंतपुरम
33	तकनीकी केंद्र	property	एयर लाइन
33	एयर लाइन	तकनीकी केंद्र को	स्थानापन्न करना है
34	दोनों मामले	पेश हुए	सर लुइस शर्ट
34	सर लुइस शर्ट	property	मुख्य न्यायाधीश
34	विशेष न्यायाधीश मोहम्मद रजा के सामने	property	मुख्य न्यायाधीश
34	चीफ कोर्ट	पेश हुए	दोनों मामले
34	मुख्य न्यायाधीश	पेश हुए	दोनों मामले
34	सर लुइस शर्ट	पेश हुए	दोनों मामले
34	विशेष न्यायाधीश मोहम्मद रजा के सामने	पेश हुए	दोनों मामले
34	सर लुइस शर्ट	दोनों मामले पेश हुए	चीफ कोर्ट
34	सर लुइस शर्ट	दोनों मामले पेश हुए	मुख्य न्यायाधीश
34	सर लुइस शर्ट	दोनों मामले पेश हुए	विशेष न्यायाधीश मोहम्मद रजा के सामने
34	सर लुइस शर्ट	property मुख्य न्यायाधीश	विशेष न्यायाधीश मोहम्मद रजा के सामने
34	चीफ कोर्ट	पेश हुए दोनों मामले	मुख्य न्यायाधीश
34	चीफ कोर्ट	पेश हुए दोनों मामले	सर लुइस शर्ट
34	चीफ कोर्ट	पेश हुए दोनों मामले	विशेष न्यायाधीश मोहम्मद रजा के सामने
34	मुख्य न्यायाधीश	पेश हुए दोनों मामले	सर लुइस शर्ट
34	मुख्य न्यायाधीश	पेश हुए दोनों मामले	विशेष न्यायाधीश मोहम्मद रजा के सामने
34	सर लुइस शर्ट	पेश हुए दोनों मामले	विशेष न्यायाधीश मोहम्मद रजा के सामने
35	मृत्यु	हो गई	किसी बीमारी की वजह
35	28 नवम्बर 1694	हो गई	मृत्यु
35	मृत्यु	property	बाशो
35	किसी बीमारी की वजह	हो गई	मृत्यु
35	बाशो	हो गई	मृत्यु
35	मृत्यु	हो गई	28 नवम्बर 1694
35	किसी बीमारी की वजह	मृत्यु हो गई	28 नवम्बर 1694
35	किसी बीमारी की वजह	मृत्यु हो गई	बाशो
35	28 नवम्बर 1694	हो गई मृत्यु	बाशो
36	विक्रम ने	सोचा	एक हल
36	तो	नहीं हुआ	कोई मतैक्य
37	सन 1696	मुकाबला हुआ फिर	एक बार
37	शाही सेना	मुकाबला हुआ फिर	पंचायती सेना
37	सन 1696	हुआ	मुकाबला
38	मर्लगोंड ,	एक गाँव है	कुभीर मण्डल
38	एक गाँव	property	अदिलाबादु जिले
38	अदिलाबादु जिले	property	आन्ध्रप्रदेश राज्य के अन्तर्गत
38	आन्ध्रप्रदेश राज्य के अन्तर्गत	property	भारत
38	मर्लगोंड ,	is	एक गाँव
38	मर्लगोंड ,	में	कुभीर मण्डल
38	मर्लगोंड ,	का है	आन्ध्रप्रदेश राज्य के अन्तर्गत
38	मर्लगोंड ,	का है	अदिलाबादु जिले
38	मर्लगोंड ,	का है	भारत
38	एक गाँव	property अदिलाबादु जिले	आन्ध्रप्रदेश राज्य के अन्तर्गत
38	अदिलाबादु जिले	property आन्ध्रप्रदेश राज्य के अन्तर्गत	भारत
38	आन्ध्रप्रदेश राज्य के अन्तर्गत	मर्लगोंड , का है	अदिलाबादु जिले
38	आन्ध्रप्रदेश राज्य के अन्तर्गत	मर्लगोंड , का है	भारत
38	अदिलाबादु जिले	मर्लगोंड , का है	भारत
39	अनेक ग्रन्थ	लिखे गये	बाद
39	दर्शन पक्ष	लिखे गये	व्याकरण
39	बाद	लिखे गये	व्याकरण
39	बाद	लिखे गये	दर्शन पक्ष
39	बाद	लिखे गये	अनेक ग्रन्थ
39	अनेक ग्रन्थ	लिखे गये बाद	व्याकरण
39	अनेक ग्रन्थ	लिखे गये बाद	दर्शन पक्ष
39	दर्शन पक्ष	लिखे गये व्याकरण	बाद
39	व्याकरण	बाद लिखे गये	दर्शन पक्ष
39	दर्शन पक्ष	बाद लिखे गये	अनेक ग्रन्थ
40	निदेशक	बने	1975
40	इलाहाबाद	बने	नवनिर्मित मेहता अनुसंधान संस्थान
40	1975	हुआ	इलाहाबाद
40	इलाहाबाद	हुआ	नवनिर्मित मेहता अनुसंधान संस्थान
40	1975	हुआ इलाहाबाद	नवनिर्मित मेहता अनुसंधान संस्थान
41	नाम	property	उनके
41	नाम	property	इस जगह
41	उनके	रखा गया	नाम
41	उनके	नाम property	इस जगह
42	कुछ लोग	पसंद करते हैं	रहना
42	इस आपाधापी से दूर	रहना	घर पर ही
42	घर पर ही	property	अपने
43	मार्च 2001	वापसी हुई फिर	एक बार
43	अट्ठाइसवें रक्षा सचिव के रूप	वापसी हुई फिर	उनकी
43	अट्ठाइसवें रक्षा सचिव के रूप	property	अमरीका
43	मार्च 2001	हुआ	वापसी हुई फिर
43	अमरीका	वापसी हुई फिर	अट्ठाइसवें रक्षा सचिव के रूप
43	उनकी	अट्ठाइसवें रक्षा सचिव के रूप वापसी हुई फिर	अमरीका
44	सर वाईकर के	आधारशिला रखी गयी थी	3 मार्च 1884
44	इसकी रचना	आधारशिला रखी गयी थी	3 मार्च 1884
44	सर वाईकर के	आधारशिला रखी गयी थी	इसकी रचना
44	सर वाईकर के	आधारशिला रखी गयी थी 3 मार्च 1884	इसकी रचना
45	वह	संपर्क में है	इस तकनीक के लिए
45	संपर्क	property	विभिन्न टेलीविजन कंपनियों
45	वह	संपर्क में है	विभिन्न टेलीविजन कंपनियों
45	विभिन्न टेलीविजन कंपनियों	के लिए	इस तकनीक
45	इस तकनीक के लिए	वह संपर्क में है	विभिन्न टेलीविजन कंपनियों
46	त्रिदेवनाथ बैनर्जी	सम्मानित किया गया था	क्षेत्र
46	सन 1961	सम्मानित किया गया था	पद्म भूषण
46	क्षेत्र	property	चिकित्सा विज्ञान
46	त्रिदेवनाथ बैनर्जी	सम्मानित किया गया	चिकित्सा विज्ञान के क्षेत्र
46	त्रिदेवनाथ बैनर्जी	सम्मानित किया गया	सन 1961
46	त्रिदेवनाथ बैनर्जी	सम्मानित किया गया	पद्म भूषण
46	चिकित्सा विज्ञान के क्षेत्र	त्रिदेवनाथ बैनर्जी सम्मानित किया गया	सन 1961
46	चिकित्सा विज्ञान के क्षेत्र	त्रिदेवनाथ बैनर्जी सम्मानित किया गया	पद्म भूषण
46	सन 1961	त्रिदेवनाथ बैनर्जी सम्मानित किया गया	पद्म भूषण
47	उन्होने	संगीत रचना की	मराठी के अतिरिक्त
47	हिन्दी फिल्मों के लिए भी	संगीत रचना की	उन्होने
47	मराठी के अतिरिक्त	संगीत रचना की	उन्होने
47	उन्होने	संगीत रचना की	हिन्दी फिल्मों के लिए भी
47	मराठी के अतिरिक्त	उन्होने संगीत रचना की	हिन्दी फिल्मों के लिए भी
48	औद्योगिक रूप	उपयोग किया जाता है	अनेक प्रक्रियाओं
48	औद्योगिक रूप	property	काइटिन
48	काइटिन	उपयोग किया जाता है	अनेक प्रक्रियाओं
48	औद्योगिक रूप	उपयोग किया जाता है अनेक प्रक्रियाओं	काइटिन
49	सभी पर्व	property	हिंदूओं
49	सभी पर्व	property	मुस्लिमों
49	हिंदूओं	मनाए जाते हैं	पर्व
49	मुस्लिमों	मनाए जाते हैं	पर्व
49	सभी पर्व	मनाए जाते हैं	मिलजुल कर
49	हिंदूओं	सभी पर्व property	मुस्लिमों
49	हिंदूओं	मनाए जाते हैं पर्व	मुस्लिमों
50	द डार्क नाईट राइसेस	रिलीज़ किया गया	अमेरिका ,
50	20 जुलाई 2012	रिलीज़ किया गया	अमेरिका ,
50	20 जुलाई 2012	रिलीज़ किया गया	संयुक्त राजशाही
50	20 जुलाई 2012	रिलीज़ किया गया	कनाडा
50	द डार्क नाईट राइसेस	रिलीज़ किया गया	अमेरिका
50	द डार्क नाईट राइसेस	रिलीज़ किया गया	संयुक्त राजशाही
50	द डार्क नाईट राइसेस	रिलीज़ किया गया	कनाडा
50	द डार्क नाईट राइसेस	रिलीज़ किया गया	20 जुलाई 2012
50	द डार्क नाईट राइसेस	रिलीज़ किया गया अमेरिका ,	20 जुलाई 2012
50	अमेरिका ,	द डार्क नाईट राइसेस रिलीज़ किया गया	अमेरिका
50	अमेरिका ,	द डार्क नाईट राइसेस रिलीज़ किया गया	संयुक्त राजशाही
50	अमेरिका ,	द डार्क नाईट राइसेस रिलीज़ किया गया	कनाडा
50	अमेरिका ,	20 जुलाई 2012 रिलीज़ किया गया	संयुक्त राजशाही
50	अमेरिका ,	20 जुलाई 2012 रिलीज़ किया गया	कनाडा
50	संयुक्त राजशाही	20 जुलाई 2012 रिलीज़ किया गया	कनाडा
50	20 जुलाई 2012	रिलीज़ किया गया संयुक्त राजशाही	द डार्क नाईट राइसेस
50	20 जुलाई 2012	रिलीज़ किया गया कनाडा	द डार्क नाईट राइसेस
50	अमेरिका	द डार्क नाईट राइसेस रिलीज़ किया गया	संयुक्त राजशाही
50	अमेरिका	द डार्क नाईट राइसेस रिलीज़ किया गया	कनाडा
50	अमेरिका	द डार्क नाईट राइसेस रिलीज़ किया गया	20 जुलाई 2012
50	संयुक्त राजशाही	द डार्क नाईट राइसेस रिलीज़ किया गया	कनाडा
50	कनाडा	द डार्क नाईट राइसेस रिलीज़ किया गया	20 जुलाई 2012
51	यह	लगाया जाता है	हर साल
51	फ्रैंकफर्ट शहर मे	लगाया जाता है	जर्मनी
51	यह	लगाया जाता है	जर्मनी
51	हर साल	यह लगाया जाता है	जर्मनी
51	फ्रैंकफर्ट शहर मे	लगाया जाता है जर्मनी	यह
52	द्रौपदी ने	वरमाला डाल दिया	गले
52	गले	property	अर्जुन
52	द्रौपदी ने	डाल दिया	वरमाला
53	यह त्यौहार	मनाया जाता है	पूरे उत्तर भारत
53	राम नवमी के दौरान	मनाया जाता है	पूरे उत्तर भारत
53	यह त्यौहार	मनाया जाता है	राम नवमी के दौरान
53	यह त्यौहार	मनाया जाता है पूरे उत्तर भारत	राम नवमी के दौरान
53	पूरे उत्तर भारत	राम नवमी के दौरान मनाया जाता है	यह त्यौहार
53	राम नवमी के दौरान	यह त्यौहार मनाया जाता है	पूरे उत्तर भारत
54	व्यापक उपयोग	उल्लेखनीय है	भोजन
54	भोजन	property	तटीय कर्नाटक
54	व्यापक उपयोग	property	समुद्री भोजन ,
54	व्यापक उपयोग	property	नारियल
54	व्यापक उपयोग	property	नारियल तेल
54	तटीय कर्नाटक	में है	भोजन
54	भोजन	is	समुद्री भोजन ,
54	भोजन	is	नारियल
54	भोजन	is	नारियल तेल
54	समुद्री भोजन ,	is	नारियल
54	समुद्री भोजन ,	is	नारियल तेल
54	नारियल	is	नारियल तेल
54	व्यापक उपयोग	is	उल्लेखनीय
54	समुद्री भोजन ,	व्यापक उपयोग property	नारियल
54	समुद्री भोजन ,	व्यापक उपयोग property	नारियल तेल
54	नारियल	व्यापक उपयोग property	नारियल तेल
54	समुद्री भोजन ,	भोजन is	नारियल
54	समुद्री भोजन ,	भोजन is	नारियल तेल
54	नारियल	भोजन is	नारियल तेल
54	भोजन	is नारियल तेल	समुद्री भोजन ,
54	भोजन	is नारियल तेल	नारियल
54	नारियल	समुद्री भोजन , is	भोजन
54	नारियल	समुद्री भोजन , is	नारियल तेल
54	नारियल तेल	समुद्री भोजन , is	भोजन
54	समुद्री भोजन ,	is नारियल तेल	नारियल
54	नारियल तेल	नारियल is	समुद्री भोजन ,
55	कार्ल ने	सुधारा	उपेक्षित जीवविज्ञान उद्यान को भी
55	उपेक्षित जीवविज्ञान उद्यान को भी	property	वहां
56	तारों	कहते हैं	श्रेणी
56	श्रेणी	property	सिफियस चतुर्थ
56	सिफियस चतुर्थ	श्रेणी के	तारों
56	सिफीड	कहते हैं	सिफियस चतुर्थ
57	यह	प्रसिद्ध है	नाम
57	नाम	property	' प्राथमिक विधि अध्यारोप '
58	अधिक संपर्क	रहा है	चीन
58	अधिक संपर्क	रहा है	जापान
58	अधिक संपर्क	property	इस देश
58	चीन	से संपर्क रहा	जापान
58	चीन	अधिक संपर्क रहा है	जापान
59	कश्यप ने	पता लगाया	शेष
59	कुछ घड़ी	शेष हैं	आयु
59	कश्यप ने	पता लगाया	राजा की आयु में कुछ घड़ी
59	शेष	कश्यप ने पता लगाया	राजा की आयु में कुछ घड़ी
60	मोमबत्तियाँ भी	प्रयुक्त होती है	खानों
60	खानों	property	अभ्रक आदि
60	अभ्रक आदि	में	खानों
61	उन्होंने	लिखे हैं	कहानियाँ
61	इस शैली	लिखे हैं	उन्होंने
61	उन्होंने	लिखे हैं	उपन्यास
61	इस शैली	लिखे हैं	कहानियाँ
61	इस शैली	लिखे हैं	उपन्यास
61	कहानियाँ	उन्होंने लिखे हैं	इस शैली
61	कहानियाँ	उन्होंने लिखे हैं	उपन्यास
61	इस शैली	लिखे हैं उन्होंने	उपन्यास
61	उन्होंने	इस शैली लिखे हैं	कहानियाँ
61	उन्होंने	लिखे हैं उपन्यास	इस शैली
61	कहानियाँ	इस शैली लिखे हैं	उपन्यास
